performRequestedBillingNumber,performRequestedLineNumber,performRequestedServiceNumber,performRequestedRoomServiceNumber
41,84424,8725,7
5,10956,8726,1
65,9896,8727,2
246,34995,8728,1
233,65640,8729,3
27,54225,8730,5
10,6248,8731,2
330,76853,8732,7
165,10714,8733,8
48,12241,8734,8
350,125956,8735,8
268,28266,8736,8
2,41874,8737,1
319,12133,8738,7
153,126384,8739,6
224,105792,8740,6
391,340,8741,6
173,76950,8742,8
242,27513,8743,1
12,126610,8744,2
144,63576,8745,6
55,10289,8746,4
374,53947,8747,6
42,84494,8748,7
169,531,8749,2
16,14940,8750,3
428,10365,8751,1
19,101107,8752,4
282,102523,8753,6
20,62760,8754,4
124,126400,8755,8
225,42392,8756,4
182,21741,8757,3
141,65358,8758,5
148,1992,8759,7
324,127811,8760,3
292,103637,8761,3
283,35453,8762,7
332,13970,8763,2
274,84010,8764,8
425,17694,8765,2
395,1844,8766,3
353,126209,8767,2
229,34784,8768,4
274,53178,8769,3
232,86742,8770,5
366,13862,8771,2
163,17542,8772,7
122,21213,8773,2
343,15112,8774,1
258,63505,8775,4
350,20956,8776,1
71,12335,8777,8
22,13582,8778,4
132,10397,8779,3
65,127172,8780,7
215,17285,8781,5
175,12149,8782,2
74,6959,8783,5
195,6605,8784,8
209,22509,8785,3
51,52457,8786,8
49,41690,8787,8
73,10536,8788,7
43,106444,8789,7
169,84531,8790,7
315,102544,8791,7
78,17841,8792,5
378,127375,8793,2
394,27846,8794,3
359,7027,8795,5
106,17271,8796,4
63,28826,8797,7
279,42192,8798,5
68,22778,8799,6
392,13843,8800,7
295,11314,8801,4
399,126999,8802,8
1,21836,8803,1
268,7266,8804,3
249,21912,8805,3
265,128233,8806,5
142,35771,8807,8
91,22681,8808,7
34,84211,8809,6
104,77543,8810,5
87,13648,8811,1
64,78416,8812,6
264,8185,8813,6
205,77298,8814,6
159,14909,8815,2
10,85363,8816,2
327,1591,8817,7
15,6723,8818,3
155,101876,8819,7
118,128538,8820,1
237,4106,8821,5
249,84912,8822,6
225,28044,8823,2
69,37562,8824,6
65,7567,8825,3
348,27712,8826,1
20,125760,8827,4
330,86910,8828,5
80,131566,8829,8
70,126816,8830,4
292,127011,8831,6
369,17996,8832,5
47,1377,8833,8
412,17880,8834,7
386,8455,8835,4
104,128782,8836,2
294,29071,8837,4
116,19705,8838,1
366,9361,8839,6
183,10323,8840,4
138,126276,8841,5
206,300,8842,5
259,42784,8843,3
89,130055,8844,6
318,106986,8845,2
63,76748,8846,6
235,76916,8847,5
264,35410,8848,1
36,22292,8849,6
402,105141,8850,2
85,35028,8851,1
186,22645,8852,7
328,84358,8853,5
32,3595,8854,5
155,106650,8855,2
336,77115,8856,1
327,77175,8857,8
306,101372,8858,5
98,227,8859,1
162,105578,8860,6
380,76798,8861,8
82,127030,8862,5
6,78061,8863,1
6,27474,8864,1
382,3200,8865,2
8,101185,8866,2
104,105782,8867,8
110,4496,8868,3
69,105100,8869,5
320,76906,8870,8
146,13885,8871,5
381,22621,8872,4
84,27327,8873,2
162,63578,8874,6
342,76900,8875,8
371,27945,8876,5
53,84442,8877,6
29,29693,8878,5
72,176,8879,5
100,2911,8880,4
17,63190,8881,3
95,21456,8882,7
248,106201,8883,4
4,45251,8884,1
69,16562,8885,4
334,106060,8886,7
101,105076,8887,8
140,86399,8888,3
337,52889,8889,3
185,128150,8890,2
87,128065,8891,4
131,42143,8892,1
428,128835,8893,8
308,126451,8894,5
102,7015,8895,7
60,63522,8896,5
334,34838,8897,1
332,126892,8898,7
64,10098,8899,5
261,84632,8900,1
399,21999,8901,8
348,56835,8902,1
116,851,8903,8
216,128962,8904,6
29,15014,8905,5
231,102551,8906,7
288,107256,8907,7
367,77078,8908,4
126,52049,8909,3
58,84134,8910,6
221,17949,8911,6
64,28083,8912,1
63,128124,8913,3
400,15078,8914,7
346,17642,8915,7
397,126613,8916,3
105,63139,8917,5
344,42039,8918,5
72,20724,8919,4
278,77381,8920,2
176,54086,8921,8
227,5160,8922,2
135,101756,8923,5
225,128392,8924,2
216,101486,8925,7
402,14264,8926,4
62,13498,8927,1
105,127139,8928,6
296,14876,8929,7
89,27714,8930,7
68,102934,8931,1
178,130094,8932,4
413,7550,8933,3
235,6950,8934,3
423,7302,8935,6
434,12392,8936,4
405,76875,8937,8
277,64627,8938,1
22,42662,8939,4
186,37242,8940,1
6,15061,8941,1
127,63692,8942,3
425,126478,8943,5
225,126392,8944,4
337,101462,8945,6
397,17684,8946,1
25,9998,8947,4
416,6870,8948,6
237,29657,8949,5
288,3183,8950,4
314,6653,8951,1
137,64155,8952,8
263,101306,8953,2
60,128522,8954,1
13,128323,8955,3
356,78055,8956,3
285,17750,8957,6
217,105175,8958,3
133,20885,8959,8
219,27423,8960,8
10,101094,8961,2
89,107055,8962,5
178,44094,8963,6
3,76626,8964,1
31,42016,8965,5
159,105801,8966,2
46,84502,8967,8
259,14466,8968,8
247,65611,8969,3
207,5,8970,1
241,2885,8971,2
327,19525,8972,2
67,3142,8973,5
383,3793,8974,1
267,42775,8975,2
355,78868,8976,6
293,127534,8977,6
185,62949,8978,8
343,105348,8979,3
334,43060,8980,1
429,126921,8981,6
226,126119,8982,1
241,8978,8983,7
200,78628,8984,2
278,14381,8985,3
342,126225,8986,7
126,10049,8987,3
70,816,8988,8
251,17848,8989,2
305,63338,8990,6
45,407,8991,7
240,13840,8992,5
117,28385,8993,7
263,35235,8994,2
279,192,8995,3
318,6745,8996,4
202,3205,8997,8
224,84792,8998,5
259,21784,8999,3
4,102312,9000,1
76,105685,9001,4
215,2818,9002,7
20,27575,9003,4
55,52289,9004,5
100,78158,9005,7
53,77709,9006,1
370,14891,9007,1
287,28607,9008,3
215,128798,9009,5
199,36251,9010,1
105,16363,9011,8
13,18634,9012,2
243,14331,9013,7
117,10360,9014,3
384,127471,9015,6
280,101360,9016,5
332,84892,9017,8
111,17539,9018,4
28,10221,9019,5
91,64681,9020,2
98,78469,9021,4
99,2821,9022,1
97,79127,9023,3
115,11655,9024,7
393,7948,9025,7
191,32767,9026,7
337,1406,9027,6
256,28148,9028,2
136,130811,9029,8
112,21988,9030,4
57,129492,9031,6
370,6845,9032,1
392,7771,9033,6
75,14839,9034,2
150,101954,9035,5
406,132456,9036,7
107,63112,9037,7
10,16722,9038,2
423,42608,9039,3
28,41630,9040,5
190,6606,9041,8
271,128356,9042,2
96,42570,9043,8
314,64065,9044,6
146,62904,9045,2
238,17373,9046,6
325,52441,9047,6
425,6819,9048,2
307,53741,9049,1
282,42125,9050,8
38,42860,9051,6
265,77364,9052,8
313,11763,9053,2
297,13654,9054,1
8,76860,9055,2
213,14440,9056,8
47,43377,9057,8
379,13794,9058,3
409,103714,9059,3
398,128796,9060,7
228,12289,9061,1
168,106757,9062,1
137,4886,9063,2
169,63531,9064,3
175,6389,9065,5
46,126502,9066,8
199,3054,9067,4
75,6351,9068,7
137,43155,9069,2
66,28451,9070,4
7,34998,9071,1
293,17386,9072,1
224,21792,9073,7
151,63178,9074,1
252,76901,9075,7
77,85737,9076,6
38,14109,9077,6
69,3723,9078,6
195,127055,9079,2
204,52869,9080,5
178,77098,9081,4
357,28574,9082,2
72,128176,9083,7
264,3012,9084,8
245,42241,9085,8
146,21984,9086,2
295,105092,9087,2
123,105316,9088,1
164,77734,9089,1
261,7026,9090,4
73,127968,9091,7
347,34985,9092,7
54,18310,9093,1
329,66052,9094,5
293,15691,9095,2
344,13803,9096,8
51,18093,9097,8
45,27650,9098,7
47,18465,9099,8
200,126840,9100,4
133,21202,9101,3
65,63172,9102,1
183,84493,9103,5
129,22667,9104,7
196,84235,9105,7
409,52835,9106,6
192,125872,9107,7
183,27578,9108,5
264,126156,9109,2
88,127781,9110,6
280,3002,9111,4
10,129363,9112,2
28,101562,9113,5
216,42962,9114,1
162,10374,9115,6
19,78287,9116,3
10,37722,9117,2
110,64342,9118,4
3,44114,9119,1
9,34688,9120,2
228,78743,9121,2
145,65883,9122,4
91,129681,9123,6
189,10311,9124,8
95,3307,9125,7
13,51880,9126,2
311,7029,9127,6
191,21250,9128,3
218,108827,9129,4
20,105181,9130,4
82,63030,9131,8
43,6437,9132,7
106,16540,9133,7
120,35091,9134,4
127,13993,9135,4
284,27996,9136,1
32,17355,9137,5
112,988,9138,2
218,3827,9139,5
311,10895,9140,7
120,101647,9141,3
139,43294,9142,2
257,85335,9143,7
218,87827,9144,3
75,128479,9145,8
315,126020,9146,2
235,13916,9147,1
126,63079,9148,2
200,3103,9149,3
214,84946,9150,1
289,7004,9151,4
282,34909,9152,8
86,105422,9153,4
93,3342,9154,1
138,127276,9155,6
353,76848,9156,5
223,84098,9157,6
282,11333,9158,4
149,36074,9159,6
143,6865,9160,7
192,85954,9161,8
184,13989,9162,7
344,19702,9163,3
374,8389,9164,7
231,63177,9165,5
65,34479,9166,8
37,84386,9167,6
198,22851,9168,8
202,14353,9169,2
154,3539,9170,4
45,84407,9171,7
95,105456,9172,6
303,20939,9173,6
162,126578,9174,3
206,126300,9175,3
63,124,9176,8
341,127265,9177,4
197,128763,9178,8
224,14778,9179,8
189,63359,9180,7
50,34974,9181,8
30,101798,9182,5
48,84978,9183,8
73,13530,9184,7
118,17290,9185,4
135,7894,9186,3
388,77540,9187,3
255,27492,9188,7
28,52221,9189,5
164,3044,9190,5
226,119,9191,7
180,77045,9192,6
91,13808,9193,4
179,10138,9194,2
97,3132,9195,1
256,14369,9196,5
300,76804,9197,4
25,43402,9198,4
173,105149,9199,7
193,63297,9200,7
269,43098,9201,6
118,126538,9202,1
139,14279,9203,6
40,85482,9204,7
36,129292,9205,6
133,17134,9206,2
272,7630,9207,7
326,10882,9208,5
193,35478,9209,4
243,21219,9210,7
16,127312,9211,3
156,105164,9212,8
296,9396,9213,4
31,6465,9214,5
124,28639,9215,6
268,126616,9216,5
332,11474,9217,7
356,4888,9218,5
115,84854,9219,3
228,19512,9220,5
180,17337,9221,4
330,55036,9222,8
173,17806,9223,7
238,14365,9224,5
114,13051,9225,3
7,76998,9226,2
25,28243,9227,4
219,52430,9228,2
92,17190,9229,7
161,21444,9230,6
185,127150,9231,1
151,126178,9232,2
322,106053,9233,2
221,10076,9234,2
220,105070,9235,1
264,42156,9236,8
214,52286,9237,2
10,41811,9238,2
435,64777,9239,6
73,2820,9240,1
368,76869,9241,6
241,101367,9242,6
24,226,9243,4
369,84240,9244,2
162,21578,9245,4
50,127958,9246,8
27,85899,9247,5
83,76973,9248,7
351,19411,9249,3
167,17311,9250,3
239,101368,9251,7
168,3309,9252,3
274,27535,9253,5
347,105426,9254,3
125,63716,9255,8
49,35471,9256,8
15,130003,9257,3
390,18854,9258,3
278,10196,9259,1
263,23635,9260,6
102,105254,9261,4
362,11046,9262,1
207,27933,9263,8
226,8408,9264,8
131,63143,9265,7
50,105958,9266,8
46,7315,9267,8
169,52115,9268,5
417,42737,9269,7
135,128416,9270,4
128,52674,9271,3
133,63202,9272,2
245,13871,9273,1
236,131378,9274,3
6,10662,9275,1
66,85119,9276,5
42,15066,9277,7
188,21031,9278,7
81,84378,9279,7
322,27527,9280,5
4,76481,9281,1
38,3175,9282,6
385,84468,9283,4
187,27463,9284,3
157,86151,9285,5
107,59911,9286,3
85,20895,9287,6
121,126317,9288,8
431,127447,9289,4
405,28234,9290,1
84,10775,9291,3
96,84570,9292,1
101,35085,9293,6
215,126798,9294,1
159,42801,9295,6
389,27647,9296,6
25,101860,9297,4
82,42030,9298,6
307,129319,9299,7
178,8290,9300,8
138,128276,9301,7
21,128546,9302,4
46,63502,9303,8
248,101675,9304,5
367,14078,9305,8
86,84422,9306,3
207,84005,9307,7
384,28189,9308,1
38,126860,9309,6
83,12000,9310,3
422,7059,9311,2
229,405,9312,3
155,34782,9313,8
195,102158,9314,7
21,10590,9315,4
354,7359,9316,1
377,84876,9317,2
234,77865,9318,6
335,7303,9319,2
86,52246,9320,3
5,6460,9321,1
328,34823,9322,1
426,21916,9323,6
299,43862,9324,7
28,7500,9325,5
382,10574,9326,8
393,84843,9327,8
64,42155,9328,8
276,128656,9329,1
441,17676,9330,8
38,860,9331,6
26,22962,9332,5
25,85402,9333,4
255,77145,9334,3
297,14527,9335,7
235,438,9336,1
204,64449,9337,1
17,128190,9338,3
58,21134,9339,1
262,42217,9340,8
231,29201,9341,2
136,11483,9342,5
372,8740,9343,7
7,101602,9344,2
36,102144,9345,6
259,28998,9346,1
372,64349,9347,4
274,4511,9348,7
408,4291,9349,1
13,6494,9350,2
68,43778,9351,5
174,126761,9352,6
266,42605,9353,6
182,101855,9354,8
236,3101,9355,2
139,4258,9356,1
136,19317,9357,7
307,34957,9358,8
157,17493,9359,6
246,42778,9360,6
208,2881,9361,8
365,85045,9362,6
435,14140,9363,6
49,128742,9364,8
312,45021,9365,2
268,105616,9366,2
403,63680,9367,2
194,101412,9368,2
6,6474,9369,1
385,53533,9370,7
166,37068,9371,2
345,107674,9372,4
397,3518,9373,2
122,18539,9374,6
394,85790,9375,7
373,35206,9376,3
94,3113,9377,4
199,17544,9378,8
303,21971,9379,6
203,128184,9380,4
75,101502,9381,8
275,102282,9382,4
35,105388,9383,6
288,101520,9384,1
140,14768,9385,8
263,10250,9386,3
81,9127,9387,7
255,4565,9388,1
197,84763,9389,4
118,63538,9390,3
141,23358,9391,7
207,77881,9392,4
27,22899,9393,5
222,63050,9394,1
280,53749,9395,2
231,10166,9396,4
257,34849,9397,3
31,35673,9398,5
19,85001,9399,4
371,87794,9400,5
107,17911,9401,3
136,76918,9402,7
146,103189,9403,1
160,102476,9404,1
402,27622,9405,2
415,86416,9406,4
98,10296,9407,4
249,41912,9408,1
195,53011,9409,5
117,35490,9410,6
5,62668,9411,1
96,34561,9412,1
210,27526,9413,2
327,103525,9414,1
128,16225,9415,1
74,42598,9416,1
295,2899,9417,5
420,101626,9418,3
267,27966,9419,3
118,101290,9420,4
179,4134,9421,4
74,35427,9422,5
284,76913,9423,5
263,3035,9424,5
309,85708,9425,8
314,102373,9426,7
37,42386,9427,6
297,127596,9428,4
152,21603,9429,8
226,34760,9430,3
258,505,9431,3
165,129955,9432,3
236,78140,9433,3
310,86816,9434,8
192,12119,9435,5
82,7920,9436,1
20,21181,9437,4
23,3686,9438,4
110,10754,9439,7
333,95,9440,8
96,126570,9441,7
391,27849,9442,3
378,3804,9443,6
140,77768,9444,3
117,393,9445,1
283,65679,9446,6
248,35370,9447,6
21,27444,9448,4
289,10394,9449,8
285,35023,9450,6
9,125911,9451,2
55,106154,9452,7
204,2833,9453,7
139,17970,9454,3
45,21407,9455,7
197,63763,9456,4
220,10101,9457,4
182,6587,9458,7
298,105033,9459,5
341,101846,9460,6
114,84959,9461,3
83,28066,9462,5
390,27610,9463,8
425,478,9464,8
214,42946,9465,3
302,21171,9466,3
311,28029,9467,7
176,105399,9468,1
77,53836,9469,7
312,131021,9470,5
170,1394,9471,4
395,30568,9472,2
36,106292,9473,6
347,13985,9474,1
142,14771,9475,4
303,105971,9476,3
395,43844,9477,5
134,127221,9478,7
87,127065,9479,1
221,14472,9480,5
276,52421,9481,8
183,42493,9482,2
222,42050,9483,2
53,21442,9484,1
281,28792,9485,4
359,129617,9486,3
35,6909,9487,6
294,105751,9488,2
331,106651,9489,2
147,63049,9490,1
9,7793,9491,2
434,668,9492,2
343,127348,9493,6
255,18635,9494,2
253,11009,9495,2
98,52296,9496,1
125,28816,9497,1
191,105250,9498,1
242,101444,9499,4
120,42307,9500,5
244,11458,9501,8
253,34702,9502,5
95,36267,9503,3
69,79562,9504,3
378,63375,9505,3
351,53055,9506,7
328,103067,9507,4
100,7256,9508,6
342,3453,9509,4
75,77839,9510,4
83,34973,9511,2
193,52529,9512,7
250,10647,9513,6
116,21851,9514,6
274,21010,9515,6
186,106645,9516,3
275,11608,9517,6
183,17565,9518,1
111,13673,9519,2
270,86116,9520,7
104,17270,9521,4
309,43708,9522,7
255,46565,9523,3
160,381,9524,4
120,84307,9525,8
140,44399,9526,3
281,63131,9527,1
152,42603,9528,8
23,103279,9529,4
133,84202,9530,1
278,22876,9531,7
154,64486,9532,6
205,10630,9533,8
166,21719,9534,7
8,127964,9535,2
311,126218,9536,6
105,37363,9537,8
97,85019,9538,3
6,127121,9539,1
173,101806,9540,2
232,28151,9541,8
90,126271,9542,5
337,29877,9543,5
17,62982,9544,3
314,18373,9545,2
36,64292,9546,6
387,22434,9547,7
323,102169,9548,8
100,1141,9549,8
222,2967,9550,5
200,29701,9551,5
64,52098,9552,6
137,1155,9553,8
382,101508,9554,1
32,86440,9555,6
203,21184,9556,2
183,6578,9557,7
250,15098,9558,5
10,62811,9559,2
230,10537,9560,4
139,64294,9561,2
211,10024,9562,2
87,6682,9563,7
248,53355,9564,6
140,107399,9565,6
286,86045,9566,4
115,128854,9567,8
254,64112,9568,6
192,78528,9569,3
147,10083,9570,3
113,36043,9571,1
72,105176,9572,3
302,18816,9573,7
141,77319,9574,8
69,41782,9575,7
91,76808,9576,7
21,42546,9577,4
171,27715,9578,1
332,105892,9579,2
49,2658,9580,8
132,17863,9581,4
183,77754,9582,6
160,84381,9583,8
390,4993,9584,5
125,126716,9585,4
283,10227,9586,5
333,28855,9587,8
175,27389,9588,4
177,85184,9589,2
52,3545,9590,8
355,101598,9591,5
256,128201,9592,3
26,77089,9593,5
360,107129,9594,8
32,7584,9595,5
63,21124,9596,5
126,20965,9597,4
185,21150,9598,7
295,63092,9599,7
34,13749,9600,6
63,13748,9601,2
337,17462,9602,3
171,14846,9603,4
305,126338,9604,2
99,34509,9605,6
359,41963,9606,8
105,126139,9607,7
173,126149,9608,5
167,128507,9609,3
173,13950,9610,7
213,65717,9611,8
219,84062,9612,2
22,102642,9613,4
386,77184,9614,2
201,64529,9615,5
241,17367,9616,7
315,84020,9617,5
230,76824,9618,6
55,101203,9619,1
98,6543,9620,1
29,8693,9621,5
141,107358,9622,4
41,126424,9623,7
102,84254,9624,1
220,84070,9625,6
330,13036,9626,8
251,127152,9627,6
235,34916,9628,1
252,107828,9629,4
226,63119,9630,5
270,2116,9631,8
62,13316,9632,8
365,15447,9633,4
205,28820,9634,3
410,35318,9635,4
205,14298,9636,1
277,15467,9637,5
123,3583,9638,6
390,130487,9639,6
285,2950,9640,1
236,24378,9641,5
315,42020,9642,6
65,28567,9643,8
120,4436,9644,3
163,6722,9645,3
60,127522,9646,8
279,127192,9647,6
63,34748,9648,5
51,3519,9649,8
55,17203,9650,8
328,76823,9651,7
296,77876,9652,8
138,34775,9653,7
127,102517,9654,1
262,13861,9655,8
4,18312,9656,1
64,63155,9657,8
434,14551,9658,8
268,63616,9659,2
348,6712,9660,4
122,16282,9661,1
179,77948,9662,4
310,35011,9663,3
400,36078,9664,6
83,44989,9665,2
393,10572,9666,4
159,801,9667,8
130,126684,9668,1
216,17486,9669,8
47,3368,9670,8
3,52318,9671,1
343,128348,9672,1
69,21100,9673,1
234,65394,9674,4
128,1207,9675,6
56,76676,9676,8
71,22116,9677,3
221,107321,9678,3
12,27325,9679,2
375,42419,9680,8
156,52660,9681,7
281,84131,9682,3
309,1708,9683,4
166,105719,9684,8
2,10986,9685,1
133,52154,9686,1
364,127658,9687,2
164,63755,9688,4
169,30633,9689,1
54,42933,9690,5
183,101565,9691,7
105,102234,9692,2
74,27959,9693,1
54,933,9694,4
392,22304,9695,8
90,76598,9696,1
330,8003,9697,2
42,21494,9698,7
297,102199,9699,8
98,42227,9700,2
78,62769,9701,1
101,10343,9702,4
163,27722,9703,8
144,126576,9704,2
146,126984,9705,5
186,3965,9706,8
17,35095,9707,3
429,84921,9708,8
217,126175,9709,5
69,101387,9710,7
207,3668,9711,5
258,103990,9712,2
383,76898,9713,6
110,129342,9714,6
160,3240,9715,5
161,10127,9716,4
377,105876,9717,8
248,1201,9718,5
315,4982,9719,3
115,63854,9720,4
202,53051,9721,3
314,10364,9722,7
358,43546,9723,6
90,105271,9724,2
27,76872,9725,5
105,11210,9726,2
135,127416,9727,1
189,17354,9728,5
356,28591,9729,5
88,6674,9730,4
64,84155,9731,3
362,101712,9732,3
243,101779,9733,7
4,51818,9734,1
18,4469,9735,3
184,34989,9736,4
25,77048,9737,4
314,52364,9738,1
239,85943,9739,4
110,15203,9740,3
220,27702,9741,3
243,126219,9742,6
272,1211,9743,6
312,24021,9744,8
147,6868,9745,2
357,14075,9746,7
322,52502,9747,8
372,101878,9748,6
115,105854,9749,8
111,76673,9750,2
172,85309,9751,4
166,28122,9752,2
177,102163,9753,6
129,27979,9754,2
317,103796,9755,3
99,11635,9756,3
190,127081,9757,7
150,126111,9758,4
203,84184,9759,7
300,34804,9760,1
166,42719,9761,5
115,41961,9762,6
112,126988,9763,3
136,27582,9764,2
19,59465,9765,3
379,34794,9766,6
118,538,9767,6
282,20962,9768,3
161,84444,9769,1
283,52227,9770,2
301,126874,9771,3
17,101090,9772,3
320,239,9773,3
375,16328,9774,8
14,101113,9775,3
370,27845,9776,7
61,77335,9777,2
172,129309,9778,2
323,6572,9779,1
33,128024,9780,6
342,84225,9781,7
233,86640,9782,3
165,17628,9783,7
349,28471,9784,1
151,17172,9785,7
30,29931,9786,5
164,27393,9787,2
154,11814,9788,5
247,6953,9789,1
237,105485,9790,2
397,84613,9791,4
46,102171,9792,8
242,127258,9793,1
117,105393,9794,8
138,13775,9795,6
317,670,9796,3
355,85006,9797,2
331,15812,9798,7
152,603,9799,1
429,52625,9800,2
65,51896,9801,7
147,34686,9802,5
275,5231,9803,3
52,20955,9804,8
166,17664,9805,4
81,128378,9806,5
48,105978,9807,8
281,11187,9808,6
262,3296,9809,1
85,101414,9810,5
241,63398,9811,6
3,10318,9812,1
326,63084,9813,5
352,126659,9814,3
82,28920,9815,8
26,11197,9816,5
55,7760,9817,5
109,62890,9818,8
93,21677,9819,2
9,128575,9820,2
265,102468,9821,2
223,7324,9822,3
167,30350,9823,5
20,17053,9824,4
151,101172,9825,2
326,127084,9826,2
302,54871,9827,1
368,22142,9828,7
181,15305,9829,2
166,127719,9830,8
28,17562,9831,5
245,128241,9832,3
270,107116,9833,5
95,456,9834,4
276,105656,9835,7
198,11933,9836,4
149,78074,9837,1
267,77652,9838,8
104,4461,9839,2
316,17725,9840,7
296,102241,9841,7
182,36765,9842,3
64,36416,9843,1
294,84751,9844,6
247,130611,9845,4
202,106792,9846,4
185,84150,9847,2
239,76791,9848,7
29,9972,9849,5
375,63419,9850,3
180,7016,9851,5
59,10208,9852,6
52,459,9853,8
138,27691,9854,2
168,14132,9855,4
168,85757,9856,8
157,77417,9857,3
413,127890,9858,3
87,52043,9859,2
223,128098,9860,7
387,29531,9861,3
32,23440,9862,6
179,6591,9863,3
301,10664,9864,1
261,13708,9865,8
353,18736,9866,2
199,78251,9867,6
59,64580,9868,1
317,77564,9869,2
137,22155,9870,2
129,6979,9871,1
94,84110,9872,8
183,14754,9873,3
80,11182,9874,2
95,126456,9875,2
283,77453,9876,6
51,28050,9877,8
111,125936,9878,8
24,11138,9879,4
243,20908,9880,3
195,3734,9881,2
159,10350,9882,5
175,54149,9883,8
359,1617,9884,7
353,127209,9885,1
181,22064,9886,2
220,14240,9887,1
406,109456,9888,1
301,63874,9889,4
90,21271,9890,1
245,101869,9891,4
145,103633,9892,1
55,85154,9893,8
20,2648,9894,4
23,85478,9895,4
292,7993,9896,1
165,52714,9897,7
114,55051,9898,2
20,20760,9899,4
205,106573,9900,8
189,84359,9901,5
111,42252,9902,1
62,128675,9903,8
176,12086,9904,7
82,53353,9905,6
95,63456,9906,4
296,64491,9907,6
150,127111,9908,6
88,27674,9909,6
127,127692,9910,5
87,17380,9911,1
46,105502,9912,8
114,41999,9913,1
318,27745,9914,8
217,84175,9915,1
336,107104,9916,2
381,7744,9917,3
216,127962,9918,6
78,13656,9919,2
267,126775,9920,6
278,41905,9921,5
268,77157,9922,7
276,27929,9923,4
317,35564,9924,5
35,388,9925,6
261,101901,9926,5
114,42959,9927,5
111,127252,9928,2
251,84152,9929,8
153,7138,9930,2
315,18544,9931,1
8,126964,9932,2
109,29248,9933,8
106,84585,9934,6
303,14924,9935,2
11,27223,9936,2
323,105568,9937,1
163,84288,9938,3
385,63468,9939,1
142,65726,9940,8
176,6594,9941,8
341,13845,9942,6
90,52120,9943,7
161,126444,9944,4
66,1119,9945,5
258,13687,9946,7
95,127456,9947,4
80,28040,9948,4
74,63598,9949,3
225,102037,9950,4
1,128836,9951,1
360,130129,9952,8
31,16,9953,5
149,128116,9954,1
165,106955,9955,4
404,52260,9956,4
62,17362,9957,5
256,63201,9958,4
103,52006,9959,2
9,13688,9960,2
298,101867,9961,8
96,7953,9962,4
51,77351,9963,8
301,42874,9964,1
83,54000,9965,8
190,126081,9966,6
365,64045,9967,7
61,14335,9968,5
104,782,9969,1
74,77427,9970,6
403,35692,9971,7
141,2849,9972,2
20,6575,9973,4
230,34824,9974,8
300,10541,9975,5
340,13743,9976,1
148,85992,9977,2
126,8177,9978,5
36,27709,9979,6
284,128318,9980,6
282,125962,9981,8
152,7170,9982,7
291,5540,9983,2
247,2919,9984,1
374,77715,9985,5
37,7153,9986,6
119,13812,9987,1
263,52250,9988,8
324,10218,9989,3
360,12591,9990,6
206,17472,9991,8
64,155,9992,2
271,10553,9993,3
219,76734,9994,1
82,128030,9995,4
154,103610,9996,2
115,53655,9997,5
5,102614,9998,1
409,88629,9999,1
319,78393,10000,1
157,35417,10001,2
125,127716,10002,6
294,103563,10003,7
150,21111,10004,3
78,27910,10005,8
171,21067,10006,2
225,21392,10007,7
170,129394,10008,4
361,126122,10009,1
123,76576,10010,3
262,127217,10011,5
22,51869,10012,4
232,2742,10013,3
37,386,10014,6
5,18614,10015,1
236,87378,10016,5
271,3877,10017,5
163,76854,10018,5
420,24940,10019,8
49,84742,10020,8
150,105111,10021,1
242,258,10022,2
224,792,10023,8
66,129119,10024,8
193,6470,10025,7
225,11113,10026,7
177,18163,10027,2
233,34678,10028,6
1,35858,10029,1
310,77011,10030,7
323,63568,10031,3
100,52721,10032,4
234,14865,10033,5
93,53259,10034,4
367,43051,10035,6
118,42538,10036,4
406,14536,10037,3
167,507,10038,6
291,42472,10039,3
246,8636,10040,1
217,13720,10041,3
74,105598,10042,5
9,102398,10043,2
240,4180,10044,4
258,7090,10045,2
322,101875,10046,8
426,18210,10047,1
359,85617,10048,4
383,107995,10049,6
34,63211,10050,6
202,129792,10051,2
56,126449,10052,3
76,17288,10053,6
244,18214,10054,8
322,5611,10055,4
252,44828,10056,4
338,42047,10057,7
31,128016,10058,5
395,35329,10059,3
296,18241,10060,1
265,7047,10061,3
202,22792,10062,4
147,21049,10063,2
107,7363,10064,5
28,2230,10065,5
15,14207,10066,3
102,3238,10067,1
324,21811,10068,3
335,128480,10069,2
399,3015,10070,7
272,52344,10071,2
112,18195,10072,1
112,102195,10073,4
40,10161,10074,7
20,126181,10075,4
169,78783,10076,2
362,903,10077,4
333,7855,10078,7
351,17273,10079,5
297,63596,10080,3
409,5079,10081,3
290,126878,10082,3
214,10286,10083,5
278,106876,10084,3
34,105211,10085,6
61,127981,10086,4
284,34913,10087,2
228,103512,10088,8
357,126336,10089,3
398,63796,10090,5
63,127124,10091,3
192,1954,10092,2
398,105796,10093,6
16,128312,10094,3
382,63038,10095,5
82,30,10096,4
235,21438,10097,2
114,9128,10098,4
126,17765,10099,7
103,28051,10100,1
331,27542,10101,6
361,63122,10102,5
293,52576,10103,3
163,288,10104,5
159,21801,10105,1
136,34918,10106,2
145,3283,10107,4
364,128658,10108,3
17,127190,10109,3
78,84162,10110,6
280,127666,10111,6
72,4380,10112,6
122,128213,10113,1
31,63016,10114,5
51,85807,10115,8
163,34854,10116,6
12,84610,10117,2
335,127480,10118,3
384,77514,10119,8
68,6746,10120,8
124,7639,10121,6
306,43391,10122,8
245,241,10123,5
