requestedBillingNumber,requestedLineNumber,requestedServiceChargeAmount,requestedServiceNumber
96,126570,3268.0189,9441
96,127570,519.6724,13356
96,128570,4521.1500,11810
97,1019,1308.4504,13678
97,3132,1526.7808,9195
97,7301,3981.8128,10465
97,10785,806.0610,11281
97,16127,1035.5688,12556
97,18119,4019.9326,12728
97,22019,1425.9857,13536
97,28301,2541.4668,8295
97,37127,3124.3331,10734
97,43019,374.3959,13386
97,52785,4547.6328,12520
97,64019,3160.0258,7864
97,79127,1415.5337,9023
97,85019,2144.7527,9538
97,102119,2731.5195,14237
97,106019,2705.8822,13076
97,129019,4817.8764,10411
98,227,1314.7732,8859
98,4710,1578.6934,10267
98,6543,2146.1452,9620
98,10296,4538.5231,9407
98,15469,4923.9842,11873
98,17133,2327.4613,14686
98,21227,819.5923,8210
98,27543,1655.4658,7653
98,36469,1620.4496,12327
98,42227,2039.9942,9700
98,52296,2131.0439,9496
98,63227,4033.4772,11480
98,78469,916.7006,9021
98,84227,4493.0164,13647
98,101133,3924.1508,10358
98,105227,4068.9351,8448
98,126227,226.2305,13577
98,127227,977.2753,7545
98,128227,303.1340,14005
99,2821,2045.4418,9022
99,3405,4038.4995,7862
99,8767,3139.0998,13753
99,11635,2853.7266,9756
99,13509,1858.1538,11568
99,18247,3146.1041,7951
99,24405,3829.3282,7435
99,29767,973.0930,8225
99,34509,2283.4539,9605
99,45405,4437.1371,11445
99,53635,4462.3397,12136
99,66405,2054.1577,11985
99,76509,476.3970,13143
99,87405,645.3334,10146
99,102247,4596.2049,12727
99,108405,1174.5417,7744
99,131405,4729.8490,7536
100,1141,1947.9559,9549
100,2911,3945.1811,8880
100,7256,3435.4096,9508
100,10721,962.5219,10728
100,15158,2233.4641,11270
100,17929,2618.8865,10977
100,20909,1285.3022,13871
100,22141,2706.4865,7548
100,28256,3931.2940,13659
100,36158,3343.5215,13111
100,41909,1237.7720,7739
100,43141,2291.9702,10978
100,52721,4976.9926,10032
100,62909,3659.5221,13756
100,64141,420.6268,11199
100,78158,4601.2770,9005
100,85141,1738.6120,10851
100,101929,4102.0162,12021
100,106141,1350.7078,11714
100,125909,1193.0721,8489
100,129141,3980.4853,11689
101,76,3848.4992,13025
101,3045,2841.7222,13231
101,6690,954.6327,12780
101,10343,3322.7022,9702
101,14085,4375.0829,7868
101,17221,4669.9725,8495
101,21076,3742.5794,12669
101,27690,2743.5406,13209
101,35085,522.7541,9293
101,42076,4579.8041,7891
101,52343,3920.4454,11889
101,63076,4858.7758,7883
101,77085,1108.4277,13593
101,84076,2729.8476,11155
101,101221,395.6719,7771
101,105076,1803.7773,8887
101,126076,3653.2771,14230
101,127076,4180.2985,11700
101,128076,1759.4923,13843
102,254,1852.2405,10436
102,3238,4319.1249,10067
102,7015,4589.3866,8895
102,10678,1307.3029,10807
102,13752,3010.4125,8387
102,18774,1779.2564,13839
102,21254,1686.7801,12298
102,28015,4593.4584,8300
102,34752,1017.3992,13657
102,42254,3439.4755,10381
102,52678,2263.5693,13948
102,63254,2882.8563,7377
102,76752,3716.7404,10991
102,84254,1747.2493,9624
102,102774,354.4312,13153
102,105254,3484.3780,9261
102,126254,4698.4739,13139
102,127254,2874.6081,14203
102,128254,3532.5544,8616
103,368,1658.1669,10819
103,2900,4341.8938,13873
103,7051,1718.3808,12000
103,10006,1927.5409,14049
103,14040,3289.5825,12129
103,17581,2636.7355,10680
103,21368,293.3153,13021
103,28051,1444.1012,10100
103,35040,2577.6242,14289
103,42368,1628.8990,12427
103,52006,2360.9741,9959
103,63368,1491.7085,12113
103,77040,3028.4925,8647
103,84368,4739.8380,7528
103,101581,4282.3022,10225
103,105368,648.6060,13630
103,126368,1078.2624,13757
103,127368,2701.1003,14134
103,128368,3530.2082,11322
104,782,4122.8959,9969
104,4461,4683.6391,9839
104,7425,4228.0624,13098
104,10535,309.5641,13016
104,14543,4162.5050,8025
104,17270,3533.4692,9521
104,21782,1623.6095,14176
104,28425,3467.2560,14411
104,35543,1057.4632,13036
104,42782,2519.2987,11981
104,52535,3277.7429,8582
104,63782,4877.4849,10262
104,77543,3376.1994,8810
104,84782,2215.6953,14448
104,101270,3804.5783,10437
104,105782,1068.1966,8867
104,126782,3577.0497,12222
104,127782,4003.0335,12515
104,128782,4119.0157,8836
105,139,1741.6798,11807
105,3429,4084.1518,11207
105,6816,3311.4059,14553
105,11210,2544.3203,9726
105,16363,1190.0793,9011
105,18234,3867.2307,7995
105,21139,3221.6034,11942
105,27816,3250.6159,8218
105,37363,4834.7615,9537
105,42139,1300.7364,10833
105,53210,1440.8289,11003
105,63139,1990.6411,8917
105,79363,644.5307,12134
105,84139,2805.6645,13653
105,102234,1200.9517,9692
105,105139,2069.3038,13514
105,126139,2385.4694,9607
105,127139,3566.3104,8928
105,128139,3868.2313,14315
106,585,1146.0121,7966
106,4968,4485.2841,14193
106,8029,2912.8799,14019
106,9912,566.1887,8399
106,16540,1619.5774,9133
106,17271,1551.2075,8796
106,21585,3741.6360,13801
106,29029,3212.2503,8721
106,37540,4712.1307,11960
106,42585,998.1589,13691
106,51912,2535.7214,12029
106,63585,2732.3343,11520
106,79540,3515.1464,10451
106,84585,4915.6493,9934
106,101271,4428.7701,8486
106,105585,2088.0295,7429
106,126585,1058.9521,10149
106,127585,1150.4419,7746
106,128585,2047.7729,13303
107,112,1535.0938,7679
107,3754,2817.7426,12334
107,7363,1282.0067,10064
107,14531,204.1694,10405
107,17686,607.0156,8533
107,17911,786.0442,9401
107,21112,4538.3861,14624
107,28363,749.6217,12562
107,35531,637.4584,14061
107,42112,782.0664,10839
107,59911,1266.0337,9286
107,63112,4578.4470,9037
107,77531,687.6153,11097
107,84112,4508.0247,11569
107,101686,634.8999,8357
107,105112,4921.7243,14431
107,126112,469.8701,14664
107,127112,1335.6849,13830
107,128112,825.3851,10164
108,641,3833.3445,10877
108,2877,3211.4446,10639
108,10501,498.6310,10282
108,12150,3431.8049,11059
108,15620,2231.9456,14012
108,20710,939.8512,10440
108,21641,3623.4736,14276
108,33150,4869.5984,13553
108,36620,3340.7006,8273
108,42641,2905.7517,7973
108,52501,1171.9968,14016
108,63641,1355.6738,10771
108,78620,4373.1062,12954
108,84641,4649.9335,10247
108,104710,1020.0993,14032
108,105641,1884.5143,7408
108,126641,3227.9900,11611
108,127641,3446.0109,10878
108,128641,4921.8019,14308
109,527,2753.9544,14521
109,2850,1982.4974,8436
109,8248,3093.3518,11697
109,10406,1059.5304,13908
109,13955,321.2157,10762
109,17683,4435.3066,12972
109,20890,876.1473,13087
109,21527,2063.7523,8630
109,29248,3757.9933,9933
109,34955,4032.4133,7628
109,41890,1446.7576,13101
109,42527,599.8563,13861
109,52406,4740.1661,14655
109,62890,3493.1925,9818
109,63527,4915.0182,12759
109,76955,453.6804,7981
109,84527,810.2618,14326
109,101683,1311.2201,11320
109,105527,881.9714,11410
109,125890,394.0276,14497
109,126527,394.4992,11514
109,127527,3375.5024,10638
109,128527,1613.9198,11791
110,1342,1848.7824,14617
110,4496,4718.7894,8868
110,10249,1154.6751,12951
110,10754,4980.2644,9439
110,15203,210.8621,9740
110,18713,815.4890,14473
110,20728,201.0309,11822
110,22342,3134.6323,11467
110,31754,1504.3765,13211
110,36203,2712.6565,10525
110,41728,4806.4890,11543
110,43342,1338.7524,13306
110,52249,4418.6662,12300
110,62728,1319.9939,10492
110,64342,511.0584,9118
110,78203,1393.1340,13223
110,85342,4979.7692,13689
110,102713,3673.5016,8584
110,106342,2875.4174,10370
110,125728,848.0406,8411
110,129342,1807.2238,9714
111,252,2218.8746,7946
111,3659,748.5194,12768
111,8661,2185.5739,10755
111,10493,2172.3208,7892
111,13673,4108.7104,9519
111,17539,2048.2978,9018
111,20936,4748.1364,7821
111,21252,1998.4074,13825
111,29661,3287.7364,14194
111,34673,682.6329,14648
111,41936,2732.5444,14472
111,42252,1232.4393,9902
111,52493,4456.7081,14543
111,62936,3573.6226,10317
111,63252,3835.5161,10314
111,76673,2780.1876,9750
111,84252,4069.2029,12381
111,101539,439.3925,12925
111,105252,3637.2936,11917
111,125936,1860.0322,9878
111,126252,667.8863,13818
111,127252,956.7747,9928
111,128252,1600.8910,10316
112,988,2200.0090,9138
112,3048,2892.8159,12093
112,6975,2463.5966,7801
112,10308,974.3826,12817
112,15879,273.2557,7832
112,18195,782.6038,10072
112,20825,1101.7138,13302
112,21988,323.2111,9030
112,27975,1184.0723,12593
112,36879,2335.2607,8578
112,41825,1345.3008,7470
112,42988,3134.7206,14035
112,52308,4342.3655,14325
112,62825,4191.8912,11483
112,63988,2173.6389,10939
112,78879,3254.5255,14199
112,84988,1364.3250,14337
112,102195,3749.3120,10073
112,105988,1482.9146,11502
112,125825,3137.3204,8130
112,126988,2818.4338,9763
112,127988,3251.6945,11984
112,128988,4997.5133,11782
113,1453,4619.8127,7413
113,3970,2625.8283,10959
113,7341,1950.5144,8595
113,12403,708.3394,14538
113,15043,1419.2074,8124
113,17552,1578.9785,8536
113,22453,2963.6744,13500
113,28341,3299.1570,11727
113,36043,2223.7650,9571
113,43453,1823.0010,10275
113,54403,4338.1370,10814
113,64453,925.5065,11225
113,78043,4782.3378,12976
113,85453,952.3276,11836
113,101552,1891.8188,12248
113,106453,3473.0456,10481
113,129453,3730.0146,11758
114,959,3693.9440,8344
114,4870,1937.6108,11726
114,9128,1705.8920,10098
114,13051,1415.8094,9225
114,13847,3534.2890,13287
114,18161,2418.5768,12040
114,20999,4523.3202,13490
114,21959,951.9601,11068
114,30128,1545.0259,13445
114,34847,763.3746,11332
114,41999,4796.8782,9913
114,42959,3412.7381,9927
114,55051,4590.9597,9898
114,62999,1906.2044,7826
114,63959,1644.9234,8522
114,76847,2191.4566,10712
114,84959,1943.7195,9461
114,102161,2393.4023,10759
114,105959,2459.3379,8264
114,125999,290.9794,11146
114,126959,2996.9053,11005
114,127959,2713.4943,7579
114,128959,3350.5297,11596
115,854,2333.4122,13711
115,2797,1874.7177,11111
115,6662,4627.9920,13038
115,11655,839.4854,9024
115,14350,4590.3193,7707
115,17563,4118.6271,13489
115,20961,4358.8612,10457
115,21854,4643.8815,10946
115,27662,466.6263,7780
115,35350,1564.5135,8574
115,41961,1219.8741,9762
115,42854,1643.8025,10468
115,53655,4935.6843,9997
115,62961,3144.6377,10999
115,63854,2685.8830,9720
115,77350,3113.1798,13527
115,84854,4062.5692,9219
115,101563,2808.8540,11393
115,105854,1246.7730,9749
115,125961,3278.8068,11722
115,126854,1260.3362,10219
115,127854,1813.5472,14547
115,128854,1592.2819,9567
116,851,2812.9278,8903
116,3910,2447.1355,13353
116,8176,3705.8735,13266
116,10557,3775.3809,12481
116,14985,2073.4677,7843
116,19705,4475.9338,8838
116,21851,3362.3535,9514
116,29176,3407.4801,12146
116,35985,1811.9419,7489
116,42851,1004.8112,7494
116,52557,3787.5898,8428
116,63851,2470.9838,8251
116,77985,2803.8948,8563
116,84851,450.4628,12423
116,103705,1384.5036,13679
116,105851,1421.3014,12992
116,126851,964.2577,7697
116,127851,1013.9330,14167
116,128851,2681.6654,8646
117,393,4898.7054,9445
117,3982,375.2319,13967
117,7385,4345.9924,8201
117,10360,1363.1312,9014
117,14490,2444.9090,11935
117,17176,4983.8927,13947
117,21393,2838.8111,7815
117,28385,1659.2677,8993
117,35490,2315.8718,9410
117,42393,1675.2626,12917
117,52360,2808.0486,14682
117,63393,4064.9559,10865
117,77490,849.1599,14514
117,84393,4851.0630,8525
117,101176,1000.6787,13129
117,105393,2952.6693,9794
117,126393,3847.8931,7648
117,127393,4632.3278,7791
117,128393,4109.5474,13749
118,538,1569.4572,9767
118,3108,4695.8315,14307
118,6430,2918.2715,12098
118,10021,1850.0992,12246
118,15088,4934.9236,8512
118,17290,1233.1472,9185
118,21538,4115.4225,7933
118,27430,1447.1595,8199
118,36088,3854.5724,10727
118,42538,792.9002,10036
118,52021,306.4441,14273
118,63538,550.8424,9390
118,78088,4336.3121,7997
118,84538,4832.4650,13181
118,101290,2661.9196,9420
118,105538,3542.2089,13751
118,126538,4560.1067,9202
118,127538,1143.9838,12375
118,128538,674.8058,8820
119,43,3303.1273,14447
119,3862,1512.6637,8548
119,6824,1184.1929,7866
119,11834,3081.3034,10622
119,13812,1037.8682,9987
119,20096,4620.3366,12192
119,20755,2760.6377,7375
119,21043,2212.3319,13291
119,27824,3509.3690,14587
119,34812,351.3563,13078
119,41755,3727.5742,8054
119,42043,608.3554,7797
119,53834,1950.6622,12862
119,62755,1297.7349,10380
119,63043,4589.1904,8150
119,76812,3324.4278,10715
119,84043,2668.1365,13206
119,104096,2630.4413,12840
119,105043,3141.8799,11858
119,125755,814.6862,7812
119,126043,2557.5464,11495
119,127043,945.1407,12452
119,128043,1589.8021,7861
120,307,1607.2725,10594
120,4436,2486.1939,9644
120,7094,4633.6985,11792
120,10823,823.1882,11740
120,14091,4390.5277,13728
120,17647,1152.2592,11117
120,21307,3761.9617,14065
120,28094,912.2449,12037
120,35091,2334.7772,9134
120,42307,3824.6992,9500
120,52823,4254.4774,13024
120,63307,399.7727,12410
120,77091,669.8119,14009
120,84307,4324.0485,9525
120,101647,2709.3186,9141
120,105307,526.6128,8432
120,126307,541.2051,10840
120,127307,2320.0894,8163
120,128307,2171.2174,8275
121,317,1706.1262,13274
121,3379,4069.2486,14053
121,7072,414.4283,14181
121,13264,4300.2423,8579
121,14054,845.3411,13642
121,18239,2328.5932,10921
121,21317,1781.0198,11687
121,28072,4756.4395,10912
121,35054,2509.0241,13220
121,42317,3575.5827,10261
121,55264,4883.2198,12409
121,63317,479.0112,12966
121,77054,3352.2294,11089
121,84317,4004.0586,10458
121,102239,4931.5208,11112
121,105317,2888.9131,8394
121,126317,1984.7375,9288
121,127317,1891.1919,11976
121,128317,3575.3643,12004
122,213,723.3104,14067
122,3214,3951.6609,11825
122,7339,1210.0677,8381
122,11056,2171.7042,10180
122,16282,1539.8422,9661
122,18539,2929.7509,9374
122,21213,2213.5278,8773
122,28339,2800.6639,8655
122,37282,4557.0623,11354
122,42213,306.8277,10791
122,53056,4117.1491,13225
122,63213,2224.8622,14493
122,79282,3492.3466,11069
122,84213,2001.2263,14128
122,102539,3095.7251,10192
122,105213,1493.9768,10575
122,126213,3545.4625,13006
122,127213,3459.7905,10596
122,128213,4119.4312,10113
123,316,2406.1818,10687
123,3583,1113.8267,9638
123,7982,1753.8522,10327
123,10568,1832.3725,10138
123,13576,2116.5592,7859
123,18207,1950.5297,11638
123,21316,4379.2793,13340
123,28982,4483.6267,10804
123,34576,373.0673,8010
123,42316,3531.8481,14687
123,52568,2524.4860,7441
123,63316,471.5031,14505
123,76576,1857.6060,10010
123,84316,1014.9933,10597
123,102207,299.0766,8643
123,105316,1165.4548,9088
123,126316,571.1126,10504
123,127316,2659.2639,14018
123,128316,3724.4138,8232
124,400,2556.5188,12943
124,3316,3281.5629,14529
124,7639,837.1569,10121
124,10400,3677.8660,7452
124,15591,2717.1392,11425
124,17551,4257.7928,14620
124,21400,4036.3147,7858
124,28639,2068.1128,9215
124,36591,1254.4403,7416
124,42400,2714.4261,14102
124,52400,3788.4096,8252
124,63400,2197.7553,12828
124,78591,1783.2562,10721
124,84400,426.1736,12172
124,101551,1084.1567,13120
124,105400,4559.6378,10827
124,126400,3487.5946,8755
124,127400,1166.4720,12551
124,128400,4271.2139,13465
125,716,998.1979,10589
125,2756,4190.7719,7439
125,7816,2689.4361,12701
125,10186,1879.5312,7792
125,13741,2164.5639,13796
125,17812,2713.3960,10968
125,21716,3509.8912,10374
125,28816,926.7483,9497
125,34741,3996.4000,7824
125,42716,920.8291,13359
125,52186,2860.1875,12960
125,63716,1801.3843,9255
125,76741,3553.1305,13419
125,84716,4279.3141,14021
125,101812,4893.7659,10866
125,105716,4184.3270,11478
125,126716,2655.5329,9585
125,127716,4688.7260,10002
125,128716,3159.7744,10913
126,79,1217.7837,10811
126,3645,2410.1199,11625
126,8177,214.7967,9978
126,10049,278.4407,8987
126,13809,2154.1462,8596
126,17765,2166.6852,10099
126,20965,3505.2480,9597
126,21079,2430.2232,8265
126,29177,4890.9231,14309
126,34809,2046.1076,12082
126,41965,3343.6105,14366
126,42079,3493.0564,7670
126,52049,1322.0667,8909
126,62965,3050.3371,11032
126,63079,4888.0645,9148
126,76809,4572.4007,11472
126,84079,3709.7706,8507
126,101765,4501.7589,10895
126,105079,1443.7281,13475
126,125965,3442.3587,10376
126,126079,3822.2064,14444
126,127079,4303.6166,10310
126,128079,4855.8301,8282
127,692,3055.8026,7582
127,3863,2796.0814,12150
127,7322,3531.7327,13803
127,10009,450.3584,10427
127,13993,4605.6602,9135
127,18517,2372.5379,14088
127,21692,3147.4105,11511
127,28322,3890.4442,11940
127,34993,3949.8449,10159
127,42692,2387.2832,11036
127,52009,1626.1398,12584
127,63692,795.7606,8942
127,76993,1107.0389,10562
127,84692,3336.0222,12269
127,102517,3267.5610,9654
127,105692,3260.7426,14441
127,126692,2445.7012,7947
127,127692,3893.1215,9910
127,128692,2659.1291,10449
128,1207,2874.4144,9675
128,2937,979.2425,14246
128,7881,804.3648,11269
128,10674,1175.3560,11931
128,16225,1550.2378,9415
128,17163,3647.3305,11750
128,22207,3804.8920,12421
128,28881,4531.3846,14345
128,37225,4841.7267,8499
128,43207,432.7753,14526
128,52674,1707.5160,9271
128,64207,4277.9302,10501
128,79225,3243.0640,12202
128,85207,4984.9237,13636
128,101163,2544.6893,12881
128,106207,3524.9259,14378
128,129207,737.6014,14513
129,1667,1835.4072,10503
129,4819,673.4319,10995
129,6979,1896.9483,9871
129,9977,2340.4322,13880
129,13535,3745.1932,8714
129,17822,4460.6651,12259
129,22667,987.0502,9104
129,27979,812.6743,9754
129,34535,2188.8969,11014
129,43667,400.5308,11245
129,51977,403.8482,13805
129,64667,1905.8560,12724
129,76535,2148.1073,11902
129,85667,1956.6093,10128
129,101822,2954.5049,10790
129,106667,2572.9910,12101
129,129667,1143.5570,11866
130,684,1411.0617,12429
130,2827,4764.1544,11861
130,7371,4567.4898,14207
130,12337,4209.4562,8442
130,14943,1470.6256,11488
130,18407,4202.1215,14314
130,21684,4268.0170,13938
130,28371,1718.4435,10357
130,35943,218.1836,14058
130,42684,796.8994,12901
130,54337,2590.0944,12199
130,63684,918.0439,11256
130,77943,1672.3455,13554
130,84684,893.3871,8164
130,102407,1961.3062,12644
130,105684,2835.9225,13662
130,126684,424.7302,9668
130,127684,4102.1483,8673
130,128684,1014.4316,13773
131,143,4762.3741,14147
131,2741,2160.6154,7550
131,6908,4762.1866,11749
131,10715,4244.8900,13982
131,13608,4671.7173,11295
131,20810,2836.3963,10369
131,21143,4889.4926,8099
131,27908,3949.9903,12511
131,34608,837.8522,12731
131,41810,4241.3002,12472
131,42143,1656.5197,8892
131,52715,283.8870,12895
131,62810,3977.5502,11291
131,63143,2061.2103,9265
131,76608,1148.9282,14080
131,84143,3528.5055,11748
131,105143,4754.7516,8167
131,125810,4942.8600,11513
131,126143,2450.3410,7726
131,127143,2682.1025,8687
131,128143,860.3642,7740
132,1286,423.4622,13352
132,2794,2197.5352,7602
132,6947,916.3886,11273
132,10397,2299.7239,8779
132,13892,4233.2990,7978
132,17863,4223.8993,9581
132,22286,1371.1711,10145
132,27947,1969.4478,7877
132,34892,1437.2768,7957
132,43286,494.5345,11255
132,52397,3982.1701,13337
132,64286,2395.8919,8611
132,76892,543.9638,7668
132,85286,1374.4849,12305
132,101863,4440.9460,7374
132,106286,2668.6336,10698
132,129286,4420.5092,14541
133,202,971.1482,11161
133,4246,2440.1915,11359
133,6439,1701.7633,8607
133,10154,2080.1846,12312
133,15878,645.9459,11533
133,17134,3391.4637,9206
133,20885,2303.6847,8959
133,21202,4048.6009,9101
133,27439,1364.6131,12909
133,36878,4328.2038,8237
133,41885,3990.0266,13320
133,42202,3455.9756,10490
133,52154,4532.5118,9686
133,62885,1251.7174,8672
133,63202,3942.8011,9272
133,78878,2287.6685,14532
133,84202,2627.2667,9530
133,101134,3726.9944,7587
133,105202,1810.0923,13969
133,125885,1548.4432,13261
133,126202,307.1706,11157
133,127202,4293.3687,11348
133,128202,4745.5423,11329
134,221,1343.0513,7719
134,3249,2614.8660,8350
134,6616,4774.3956,10397
134,10583,3392.9846,12608
134,14072,2525.8390,7755
134,21221,2961.7370,10424
134,27616,4697.4961,12844
134,35072,3196.6197,10529
134,42221,709.1801,13456
134,52583,4252.3046,12420
134,63221,985.0389,10983
134,77072,2421.6923,8175
134,84221,4337.6402,13376
134,105221,2706.7765,11723
134,126221,4018.1662,13650
134,127221,2038.4567,9478
134,128221,3712.3892,10810
135,416,1181.1931,10309
135,3301,1842.7570,11925
135,7894,2923.8134,9186
135,10034,4486.8018,11516
135,15634,3594.6874,7952
135,17756,2061.9571,11289
135,21416,1955.1250,14432
135,28894,4053.3003,13793
135,36634,776.2437,13936
135,42416,2561.2501,8564
135,52034,4581.7865,13033
135,63416,2594.2302,13614
135,78634,2772.0204,11195
135,84416,4974.0754,12376
135,101756,3048.1671,8923
135,105416,1703.6454,14446
135,126416,4991.3761,8537
135,127416,4987.3897,9727
135,128416,1555.9709,9270
136,2811,2760.6682,7852
136,3745,922.2751,8296
136,6582,597.3086,13012
136,11483,2999.3289,9342
136,13918,2677.8707,12147
136,19317,2932.5574,9357
136,23811,1446.3362,10296
136,27582,3679.2902,9764
136,34918,4651.6067,10106
136,44811,1053.2276,10351
136,53483,589.2830,14398
136,65811,1312.8456,12275
136,76918,643.9710,9402
136,86811,3342.2526,10304
136,103317,725.6140,11224
136,107811,3520.0109,12575
136,130811,499.1430,9029
137,1155,1837.2278,9553
137,4886,4276.4046,9063
137,6420,1862.7182,11971
137,11225,2627.0047,7623
137,13947,3227.6282,14650
137,17529,2009.1003,8162
137,22155,320.9934,9870
137,27420,3250.9974,13533
137,34947,1852.7116,7970
137,43155,1556.5281,9069
137,53225,3147.4672,8359
137,64155,4481.9034,8952
137,76947,3072.5343,11215
137,85155,4309.0711,11021
137,101529,1777.5848,8355
137,106155,2844.6836,11967
137,129155,1979.3363,10666
138,276,2758.5278,8513
138,3327,2990.1140,10781
138,6691,3317.0359,10631
138,11132,3368.2280,13814
138,13775,2245.5996,9795
138,17652,1855.0061,8081
138,21276,3698.7719,13384
138,27691,3114.1102,9854
138,34775,4277.3286,9653
138,42276,548.7457,13203
138,53132,2628.1274,10218
138,63276,1443.9552,13148
138,76775,229.8957,13707
138,84276,4433.6502,10592
138,101652,4353.2356,13407
138,105276,1078.8150,10784
138,126276,2909.7286,8841
138,127276,4913.5156,9155
138,128276,568.5627,9301
139,1294,1672.2884,13138
139,4258,3192.3704,9356
139,7024,4138.0858,10929
139,10180,4342.0288,14146
139,14279,217.7101,9203
139,17970,876.5770,9454
139,22294,3657.8386,14531
139,28024,2109.2011,11242
139,35279,3213.7503,12089
139,43294,2843.6429,9142
139,52180,4800.9989,11654
139,64294,4320.9210,9561
139,77279,2157.9772,10359
139,85294,848.4191,12565
139,101970,3212.2211,14407
139,106294,3666.5835,8424
139,129294,4160.6990,11338
140,2399,1809.2130,14654
140,3088,592.8005,11395
140,8549,2048.3576,13783
140,10377,2779.8659,7965
140,14768,1348.3840,9385
140,18427,2520.4776,12516
140,20869,2460.9442,12553
140,23399,2825.0327,10774
140,29549,3385.6532,13677
140,35768,4540.3232,7769
140,41869,1769.0237,11581
140,44399,3788.7692,9526
140,52377,2310.5064,14626
140,62869,3153.8583,11226
140,65399,2192.1448,7905
140,77768,1683.4140,9444
140,86399,957.5685,8888
140,102427,2694.2918,7775
140,107399,4290.2925,9565
140,125869,3047.9096,11646
140,130399,4109.3783,12926
141,2358,2918.3918,7923
141,2849,2032.5072,9972
141,6588,1229.8208,13000
141,10176,2261.1169,12362
141,14319,1559.2413,13170
141,17743,4948.9669,11663
141,23358,4712.0955,9391
141,27588,4555.5948,10438
141,35319,2146.2981,13427
141,44358,2623.5963,10615
141,52176,1741.2120,12879
141,65358,4835.9726,8758
141,77319,3131.6655,9574
141,86358,1180.2029,14608
141,101743,1027.5395,10956
141,107358,3481.0042,9622
141,130358,2580.3595,8722
142,2726,4351.8155,12852
142,3466,1476.3085,13496
142,8205,734.1695,14239
142,10225,2736.6730,11820
142,14771,4905.1036,9475
142,20367,3419.9949,12635
142,23726,1984.9497,12905
142,29205,1244.6991,8612
142,35771,399.3833,8807
142,44726,3215.1772,11975
142,52225,1109.9895,10753
142,65726,4046.2352,9940
142,77771,1317.7394,11287
142,86726,1763.5163,8523
142,104367,4802.4224,11219
142,107726,4181.2998,11860
142,130726,1929.5086,13417
143,744,1653.9846,13600
143,3483,3273.5434,13658
143,6865,2825.2724,9160
143,10307,3964.5863,10330
143,14783,4544.7670,12863
143,17596,3274.9648,7415
143,21744,4252.5080,12299
143,27865,530.6706,14695
143,35783,4995.4385,11067
143,42744,863.1139,13461
143,52307,1901.4256,13046
143,63744,1070.0924,10630
143,77783,2057.7498,8056
143,84744,2353.2136,12009
143,101596,4916.4353,10934
143,105744,4463.2005,10166
143,126744,2333.8555,11220
143,127744,4214.7380,11234
143,128744,1397.2040,14085
144,576,1750.7256,10343
144,3165,3277.2485,8223
144,10898,3201.3970,13411
144,11043,1097.6682,7504
144,16394,2369.8549,7737
144,18754,3857.7157,12830
144,21576,3030.8584,13348
144,32043,993.3646,10383
144,37394,4611.3903,7657
144,42576,1481.7507,11091
144,63576,3383.5944,8745
144,79394,3176.9184,10571
144,84576,398.0561,11959
144,102754,3689.2002,13561
144,105576,2115.5167,11818
144,126576,4557.6040,9704
144,127576,4507.4741,8006
144,128576,3233.8851,14511
145,2883,1192.3767,11578
145,3283,3856.1227,10107
145,6784,3892.8224,8323
145,10389,1392.4605,8093
145,13625,1398.2414,8303
145,19633,3087.5883,7465
145,23883,4730.0100,7874
145,27784,3883.0125,8615
145,34625,1380.1113,8065
145,44883,3604.1071,12641
145,52389,2082.4496,12417
145,65883,336.9448,9122
145,76625,2607.5132,7705
145,86883,3876.8776,7475
145,103633,1426.7032,9892
145,107883,3453.5190,13132
145,130883,3782.5501,13631
146,984,4745.6202,12753
146,4501,1269.9539,8452
146,6374,1424.9156,7734
146,10490,423.6109,11459
146,13885,3234.6143,8871
146,19189,4149.8532,14235
146,20904,4604.9260,10785
146,21984,406.0750,9086
146,27374,3920.7678,8380
146,34885,4089.2096,10600
146,41904,4086.5089,13512
146,42984,3818.9203,11950
146,52490,308.7619,10353
146,62904,4638.8363,9045
146,63984,261.5925,7385
146,76885,4282.0986,11370
146,84984,3529.9082,14361
146,103189,3319.9885,9403
146,105984,1911.8096,8412
146,125904,2396.8885,8115
146,126984,287.0852,9705
146,127984,3166.9307,14075
146,128984,3361.5805,10557
147,49,3963.6760,12047
147,2790,2298.8339,12279
147,6868,2692.3286,9745
147,10083,3399.7482,9570
147,13686,3229.5581,11742
147,17392,3475.7259,14335
147,21049,3419.4372,10063
147,27868,2252.6344,11330
147,34686,2073.5572,9802
147,42049,424.9695,8321
147,52083,1199.0063,14452
147,63049,2121.4365,9490
147,76686,3990.2489,14162
147,84049,2659.0805,10826
147,101392,4256.3356,11470
147,105049,4011.9501,7457
147,126049,3133.2134,12403
147,127049,1385.7860,11583
147,128049,3760.8857,10710
148,1992,439.4833,8759
148,3572,4677.3465,7461
148,6928,1723.2444,7541
148,11140,3478.0580,11128
148,14156,2204.4011,7869
148,17370,3906.0409,12574
148,22992,1884.7338,13885
148,27928,4424.9728,7414
148,35156,3068.5543,8631
148,43992,2670.3778,7754
148,53140,4529.8165,8666
148,64992,1854.7927,13001
148,77156,3665.9597,7810
148,85992,2338.9221,9977
148,101370,2721.9619,8667
148,106992,4991.1887,13520
148,129992,4642.6723,8315
149,116,298.2689,10900
149,2882,1477.9869,11457
149,6770,2865.7142,12848
149,11377,4289.2923,11428
