rentalNumber,rentalType,rentalDeposit,rentalStartingTime,rentalEndingTime,rentalBranchNumber,rentalRoomNumber,rentalBookingCustomerNum,rentalReservationNumber
308,M,3000,2018-03-02 05:45:21.070,2018-06-10 13:07:52.680,10,101,361,361
309,M,3000,2018-05-25 18:43:59.390,2018-08-16 11:29:47.760,7,304,272,272
310,M,3000,2018-03-26 16:23:47.190,2018-08-11 00:17:32.680,1,304,38,38
311,M,3000,2018-03-11 18:08:32.230,2018-08-20 07:39:19.240,2,201,60,60
312,M,3000,2018-06-04 20:36:14.000,2018-11-19 00:37:44.930,1,306,43,43
313,M,3000,2018-05-19 14:46:18.470,2018-07-26 07:14:19.980,7,103,244,244
314,M,3000,2018-02-05 20:59:23.510,2018-07-27 14:33:15.820,10,204,382,382
315,M,3000,2018-03-19 08:07:15.860,2018-08-20 14:51:23.460,5,304,197,197
316,M,3000,2018-02-20 13:21:11.650,2018-05-06 23:53:34.290,2,201,60,60
317,M,3000,2018-03-27 00:13:17.590,2018-08-05 18:14:48.320,7,304,272,272
318,M,3000,2018-05-18 21:50:41.840,2018-10-17 14:48:39.580,6,302,228,228
319,M,3000,2018-06-18 17:01:49.460,2018-10-10 21:25:23.800,3,104,91,91
320,M,3000,2018-04-19 03:43:09.390,2018-08-18 05:08:37.260,7,104,248,248
321,M,3000,2018-06-07 07:28:44.560,2018-11-03 19:42:52.250,1,101,3,3
322,M,3000,2018-02-17 10:55:39.710,2018-05-02 06:14:34.840,4,302,145,145
323,M,3000,2018-03-24 04:36:38.960,2018-05-20 06:57:48.040,9,204,341,341
324,M,3000,2018-04-15 12:37:29.160,2018-08-13 14:11:07.850,1,206,25,25
325,M,3000,2018-05-10 17:08:40.570,2018-08-09 09:42:47.460,4,101,113,113
326,M,3000,2018-06-17 21:04:46.400,2018-08-22 12:20:56.520,8,104,282,282
327,M,3000,2018-03-27 19:32:46.970,2018-07-17 22:21:53.970,10,205,384,384
328,M,3000,2018-05-14 12:54:44.500,2018-10-09 10:01:34.590,10,304,396,396
329,M,3000,2018-02-05 22:07:19.140,2018-07-28 20:29:05.180,4,305,155,155
330,M,3000,2018-04-16 11:00:07.840,2018-06-12 10:00:55.360,6,104,210,210
331,M,3000,2018-02-14 13:50:55.380,2018-07-30 15:57:15.730,4,101,113,113
332,M,3000,2018-06-21 11:08:08.550,2018-09-14 09:12:15.650,6,101,203,203
333,M,3000,2018-02-11 22:03:06.650,2018-03-15 15:00:22.380,6,201,213,213
334,M,3000,2018-02-16 20:46:56.370,2018-07-30 00:42:13.080,1,205,23,23
335,M,3000,2018-03-18 03:53:40.290,2018-04-19 08:38:03.320,4,101,113,113
336,M,3000,2018-03-02 15:35:58.040,2018-08-05 02:18:58.750,5,305,199,199
337,M,3000,2018-03-13 16:59:02.280,2018-05-23 19:20:52.370,9,204,339,339
338,M,3000,2018-06-09 03:06:26.390,2018-11-29 13:38:02.110,7,104,246,246
339,M,3000,2018-05-08 22:52:19.860,2018-08-16 14:14:52.850,1,305,42,42
340,M,3000,2018-02-25 22:44:05.300,2018-06-08 15:06:19.170,8,202,297,297
341,M,3000,2018-04-11 16:46:41.210,2018-07-08 21:53:33.310,5,101,161,161
342,M,3000,2018-06-12 05:53:42.620,2018-08-03 16:46:46.730,10,202,374,374
343,M,3000,2018-06-05 00:09:34.490,2018-09-10 19:18:29.150,2,103,53,53
344,M,3000,2018-05-25 19:31:14.790,2018-07-31 13:08:59.500,8,103,280,280
345,M,3000,2018-05-18 12:03:37.980,2018-07-14 23:09:41.090,7,104,247,247
346,M,3000,2018-02-06 08:46:03.100,2018-07-21 07:12:58.900,9,202,333,333
347,M,3000,2018-05-11 07:07:51.590,2018-09-12 05:55:37.350,8,101,275,275
348,M,3000,2018-04-06 11:10:33.410,2018-05-21 06:31:07.020,6,302,228,228
349,M,3000,2018-03-01 00:05:37.770,2018-04-06 07:52:52.500,2,301,70,70
350,M,3000,2018-03-09 13:14:55.340,2018-07-13 03:34:10.330,2,302,74,74
351,M,3000,2018-04-20 09:39:06.740,2018-06-13 03:23:30.550,7,103,244,244
352,M,3000,2018-02-03 04:47:06.580,2018-08-02 07:50:45.760,3,202,101,101
353,M,3000,2018-04-02 18:13:24.680,2018-05-07 02:48:57.120,10,305,399,399
354,M,3000,2018-03-28 15:43:41.000,2018-06-28 04:06:09.300,6,302,228,228
355,M,3000,2018-04-06 02:20:14.690,2018-07-28 06:13:44.820,1,206,26,26
356,M,3000,2018-06-11 09:10:34.770,2018-08-10 00:15:33.100,3,204,106,106
357,M,3000,2018-05-08 01:30:50.190,2018-08-19 17:22:11.770,9,203,338,338
358,M,3000,2018-03-02 01:08:33.530,2018-08-22 07:24:11.190,6,302,228,228
359,M,3000,2018-05-25 12:21:37.980,2018-09-03 04:01:31.700,7,204,259,259
360,M,3000,2018-05-19 23:37:47.750,2018-10-10 04:09:43.230,6,103,207,207
361,M,3000,2018-03-20 05:22:40.060,2018-07-07 09:21:28.680,10,301,389,389
362,M,3000,2018-03-30 19:52:30.770,2018-06-14 18:40:19.670,1,302,32,32
363,M,3000,2018-02-25 23:38:01.930,2018-06-16 08:38:47.500,6,102,206,206
364,M,3000,2018-03-12 23:43:51.540,2018-05-07 17:28:52.380,2,202,63,63
365,M,3000,2018-03-13 18:32:51.800,2018-08-15 00:20:16.950,9,105,326,326
366,M,3000,2018-03-20 18:00:23.680,2018-07-05 09:27:03.590,7,204,258,258
367,M,3000,2018-05-25 14:33:07.340,2018-11-07 01:37:22.540,6,303,231,231
368,M,3000,2018-05-04 09:59:22.090,2018-07-30 22:32:06.900,6,204,222,222
369,M,3000,2018-05-21 04:05:43.230,2018-11-06 16:55:12.500,7,304,269,269
370,M,3000,2018-02-18 08:31:17.810,2018-08-19 04:32:24.710,10,305,398,398
371,M,3000,2018-06-09 07:22:09.370,2018-07-13 15:32:41.920,4,104,121,121
372,M,3000,2018-04-17 08:06:51.200,2018-09-05 15:36:46.210,1,206,26,26
373,M,3000,2018-02-11 14:58:21.980,2018-05-04 16:33:46.730,5,301,187,187
374,M,3000,2018-05-25 10:17:44.160,2018-07-05 22:19:04.630,5,303,194,194
375,M,3000,2018-02-09 02:56:28.180,2018-04-12 23:15:03.950,3,102,87,87
376,M,3000,2018-06-25 12:35:01.950,2018-10-30 13:56:05.520,1,301,29,29
377,M,3000,2018-03-14 21:46:05.230,2018-08-20 21:56:05.700,3,104,93,93
378,M,3000,2018-04-28 20:05:24.170,2018-10-19 04:48:48.540,2,202,61,61
379,M,3000,2018-05-28 11:33:51.180,2018-08-29 02:01:26.760,5,204,179,179
380,M,3000,2018-05-06 00:22:37.470,2018-08-22 18:29:48.570,5,205,181,181
381,M,3000,2018-03-11 05:56:54.800,2018-07-13 22:25:19.170,1,103,8,8
382,M,3000,2018-06-20 19:22:13.570,2018-09-26 02:50:46.950,4,306,156,156
383,M,3000,2018-04-17 04:49:06.730,2018-09-05 18:08:42.090,9,105,327,327
384,M,3000,2018-05-29 19:52:23.810,2018-08-15 03:54:54.860,3,101,82,82
385,M,3000,2018-06-26 12:21:01.110,2018-07-29 17:37:24.820,10,103,366,366
386,M,3000,2018-02-13 01:03:48.800,2018-08-01 00:06:29.970,1,201,12,12
387,M,3000,2018-04-22 08:54:43.870,2018-07-11 22:23:18.530,6,102,204,204
388,M,3000,2018-05-16 17:19:25.660,2018-09-16 21:54:13.090,10,301,386,386
389,M,3000,2018-05-13 05:26:41.690,2018-08-01 05:28:28.260,10,305,398,398
390,M,3000,2018-04-06 05:43:05.520,2018-09-08 19:22:30.220,1,103,7,7
391,M,3000,2018-04-25 01:05:07.850,2018-07-15 19:56:46.970,7,301,262,262
392,M,3000,2018-02-13 07:50:28.750,2018-05-05 03:56:41.190,4,101,112,112
393,M,3000,2018-02-16 06:44:48.400,2018-05-30 01:36:30.400,10,301,387,387
394,M,3000,2018-06-19 10:14:32.120,2018-11-05 21:05:09.630,6,304,236,236
395,M,3000,2018-06-08 04:21:25.240,2018-12-01 16:44:50.490,8,206,309,309
396,M,3000,2018-02-13 12:54:10.430,2018-03-27 19:13:13.620,4,203,130,130
397,M,3000,2018-05-18 22:15:40.680,2018-09-21 00:07:59.230,5,201,169,169
398,M,3000,2018-04-26 16:25:42.940,2018-07-07 17:49:36.760,10,302,390,390
399,M,3000,2018-04-15 16:58:22.990,2018-07-20 04:48:42.560,9,304,355,355
400,M,3000,2018-04-01 10:03:14.290,2018-08-13 05:42:37.490,10,302,390,390
401,M,3000,2019-03-25 12:17:02.690,2019-06-30 13:08:37.510,8,107,436,436
402,M,3000,2019-03-28 17:32:11.940,2019-07-19 22:11:00.600,9,105,491,491
403,M,3000,2019-06-23 01:49:47.190,2019-11-14 06:23:03.040,8,205,461,461
404,M,3000,2019-02-07 21:42:24.200,2019-07-24 22:41:50.730,6,204,335,335
405,M,3000,2019-05-08 09:58:00.240,2019-08-15 04:21:01.120,3,101,124,124
406,M,3000,2019-03-16 17:45:43.000,2019-08-13 20:34:23.420,6,204,336,336
407,M,3000,2019-04-01 08:27:26.010,2019-05-29 21:48:25.830,10,102,544,544
408,M,3000,2019-05-18 21:11:06.420,2019-10-06 03:12:37.260,5,204,266,266
409,M,3000,2019-06-26 18:11:32.670,2019-10-06 16:01:26.160,10,302,587,587
410,M,3000,2019-04-10 08:57:19.130,2019-09-29 16:05:09.610,3,205,165,165
411,M,3000,2019-06-06 00:23:46.170,2019-11-02 18:17:56.980,4,103,176,176
412,M,3000,2019-05-08 00:23:26.400,2019-10-01 20:38:18.810,5,301,281,281
413,M,3000,2019-02-09 13:25:58.080,2019-07-12 09:30:16.410,7,202,380,380
414,M,3000,2019-04-05 19:43:50.870,2019-07-22 03:50:27.600,5,301,282,282
415,M,3000,2019-04-10 21:23:27.490,2019-06-19 10:16:46.830,10,303,590,590
416,M,3000,2019-02-23 09:05:29.760,2019-07-01 21:53:03.720,1,202,19,19
417,M,3000,2019-02-25 21:45:51.060,2019-08-04 02:12:59.960,9,301,518,518
418,M,3000,2019-04-21 07:10:11.450,2019-05-22 14:15:55.360,10,305,598,598
419,M,3000,2019-06-02 19:45:43.690,2019-11-20 23:22:31.760,7,304,407,407
420,M,3000,2019-04-17 12:52:27.950,2019-05-25 11:50:09.170,4,202,189,189
421,M,3000,2019-04-02 06:03:17.570,2019-09-21 20:09:32.520,9,105,491,491
422,M,3000,2019-02-17 07:14:08.180,2019-04-01 12:35:22.420,9,204,509,509
423,M,3000,2019-05-18 21:42:52.480,2019-08-16 13:53:21.590,10,304,596,596
424,M,3000,2019-03-04 16:01:52.220,2019-07-05 08:17:54.050,1,202,20,20
425,M,3000,2019-06-08 10:56:40.600,2019-08-14 19:27:42.990,8,103,420,420
426,M,3000,2019-06-25 21:34:13.770,2019-10-16 20:07:04.810,6,104,316,316
427,M,3000,2019-03-07 11:07:32.560,2019-07-17 09:25:14.150,10,202,561,561
428,M,3000,2019-04-30 12:00:49.080,2019-06-10 00:27:02.730,8,102,413,413
429,M,3000,2019-06-21 17:55:00.810,2019-07-28 19:56:12.070,6,203,329,329
430,M,3000,2019-04-21 21:21:22.530,2019-09-14 05:36:39.570,1,302,49,49
431,M,3000,2019-04-03 08:08:48.500,2019-09-15 15:57:39.800,2,303,113,113
432,M,3000,2019-04-01 10:30:18.150,2019-07-09 01:49:24.080,5,205,272,272
433,M,3000,2019-03-21 21:31:00.570,2019-09-10 14:10:08.310,4,103,179,179
434,M,3000,2019-03-12 05:15:55.070,2019-06-05 04:56:15.200,10,304,594,594
435,M,3000,2019-02-22 06:49:04.420,2019-06-14 04:21:59.550,7,204,386,386
436,M,3000,2019-05-01 10:42:51.930,2019-09-26 06:14:29.300,8,205,458,458
437,M,3000,2019-05-08 15:14:16.810,2019-11-01 06:24:50.410,1,202,19,19
438,M,3000,2019-02-13 16:31:19.010,2019-07-17 03:03:32.100,4,305,229,229
439,M,3000,2019-05-31 23:31:10.630,2019-09-13 11:22:38.390,4,205,206,206
440,M,3000,2019-06-12 03:04:54.360,2019-08-03 18:36:45.960,10,205,575,575
441,M,3000,2019-05-23 15:15:54.860,2019-10-25 13:46:28.950,6,101,304,304
442,M,3000,2019-04-08 18:56:52.120,2019-08-01 19:27:23.110,8,105,430,430
443,M,3000,2019-04-19 02:48:26.850,2019-09-18 21:12:00.750,2,101,72,72
444,M,3000,2019-06-03 06:37:25.130,2019-08-13 13:56:55.380,3,205,165,165
445,M,3000,2019-05-10 12:11:12.660,2019-10-04 18:49:49.560,10,102,545,545
446,M,3000,2019-05-30 14:09:33.310,2019-08-16 19:12:15.830,9,102,477,477
447,M,3000,2019-02-16 01:43:20.700,2019-05-27 02:23:38.390,4,205,203,203
448,M,3000,2019-02-19 18:39:07.580,2019-04-18 23:41:53.920,5,206,275,275
449,M,3000,2019-06-06 09:09:24.980,2019-08-10 09:53:44.570,2,201,89,89
450,M,3000,2019-05-31 22:42:54.030,2019-08-20 11:42:03.730,3,103,133,133
451,M,3000,2019-03-30 10:45:35.470,2019-09-05 22:30:20.580,5,102,247,247
452,M,3000,2019-05-30 17:27:48.650,2019-09-28 22:57:18.940,8,106,432,432
453,M,3000,2019-06-09 22:13:43.120,2019-11-04 14:08:04.640,7,201,372,372
454,M,3000,2019-06-20 13:05:59.880,2019-11-12 00:48:43.900,5,304,293,293
455,M,3000,2019-06-25 13:51:18.550,2019-11-20 02:22:13.230,2,304,117,117
456,M,3000,2019-03-09 21:02:54.500,2019-06-01 16:33:15.070,9,303,527,527
457,M,3000,2019-05-10 06:49:19.470,2019-07-02 19:17:39.010,9,201,496,496
458,M,3000,2019-05-23 01:47:54.970,2019-07-13 14:05:08.980,8,201,442,442
459,M,3000,2019-03-01 21:45:43.600,2019-07-09 14:14:07.730,9,301,515,515
460,M,3000,2019-05-12 23:23:46.480,2019-10-28 19:13:56.330,8,101,408,408
461,M,3000,2019-02-10 22:38:10.440,2019-03-31 03:09:09.260,7,201,375,375
462,M,3000,2019-06-01 07:26:36.940,2019-07-19 08:21:23.110,3,103,132,132
463,M,3000,2019-05-27 14:16:05.620,2019-10-07 18:16:25.190,9,305,538,538
464,M,3000,2019-04-08 12:50:10.140,2019-08-26 02:24:46.590,10,101,538,538
465,M,3000,2019-02-08 16:48:30.630,2019-03-17 16:07:29.810,1,303,52,52
466,M,3000,2019-04-08 05:53:28.010,2019-06-28 08:28:32.890,9,203,504,504
467,M,3000,2019-03-20 18:52:25.830,2019-08-24 22:28:10.510,2,204,103,103
468,M,3000,2019-05-30 19:10:03.020,2019-09-05 15:34:01.210,7,204,387,387
469,M,3000,2019-03-16 04:54:46.440,2019-09-10 15:28:28.040,9,201,497,497
470,M,3000,2019-06-09 21:40:35.560,2019-09-22 15:02:17.530,3,103,132,132
471,M,3000,2019-04-17 04:51:12.960,2019-08-30 02:28:13.320,10,305,600,600
472,M,3000,2019-02-13 21:14:32.040,2019-03-21 15:09:27.850,5,303,289,289
473,M,3000,2019-05-20 18:39:00.820,2019-09-07 13:53:16.970,7,301,392,392
474,M,3000,2019-06-21 03:40:49.330,2019-11-16 15:45:45.790,8,106,432,432
475,M,3000,2019-05-25 08:36:33.090,2019-07-30 09:03:40.220,9,104,486,486
476,M,3000,2019-06-23 22:06:25.450,2019-09-19 11:42:09.400,1,305,61,61
477,M,3000,2019-04-30 15:25:41.340,2019-07-13 02:23:21.690,8,107,438,438
478,M,3000,2019-06-15 02:05:27.360,2019-08-02 10:56:26.210,8,106,432,432
479,M,3000,2019-04-24 14:50:39.570,2019-09-30 00:28:04.510,2,102,76,76
480,M,3000,2019-02-10 12:47:07.280,2019-08-01 16:15:27.150,10,102,544,544
481,M,3000,2019-06-11 11:50:53.070,2019-07-24 09:43:26.410,2,303,114,114
482,M,3000,2019-02-17 08:28:24.980,2019-06-01 01:43:20.230,5,302,287,287
483,M,3000,2019-05-24 13:51:24.100,2019-10-30 01:33:18.160,6,202,325,325
484,M,3000,2019-02-22 11:12:06.770,2019-07-12 00:14:08.340,4,203,196,196
485,M,3000,2019-02-24 02:35:47.050,2019-08-11 23:06:18.980,7,303,403,403
486,M,3000,2019-05-04 01:40:59.860,2019-07-17 04:00:20.870,5,301,282,282
487,M,3000,2019-04-21 23:16:35.030,2019-09-02 22:41:19.440,9,202,501,501
488,M,3000,2019-03-31 19:25:00.700,2019-05-29 00:21:24.410,9,104,486,486
489,M,3000,2019-03-17 02:24:36.530,2019-07-15 13:34:01.990,9,102,477,477
490,M,3000,2019-06-14 20:46:09.920,2019-08-11 22:48:44.480,8,205,459,459
491,M,3000,2019-06-21 14:53:32.470,2019-10-23 21:56:50.300,10,202,563,563
492,M,3000,2019-06-16 00:26:21.850,2019-11-18 03:19:41.430,4,103,177,177
493,M,3000,2019-06-14 05:45:35.420,2019-08-06 23:49:24.370,6,104,314,314
494,M,3000,2019-02-20 16:07:24.150,2019-06-19 08:08:42.070,7,302,399,399
495,M,3000,2019-06-02 20:26:43.910,2019-07-07 07:27:36.690,4,204,200,200
496,M,3000,2019-06-21 18:49:17.930,2019-11-05 16:25:05.840,4,102,173,173
497,M,3000,2019-05-12 15:40:46.510,2019-10-24 12:10:57.940,9,105,493,493
498,M,3000,2019-02-12 05:58:16.700,2019-03-27 10:47:14.150,3,103,134,134
499,M,3000,2019-05-27 05:48:54.500,2019-07-30 13:49:25.570,2,303,113,113
500,M,3000,2019-03-05 22:17:44.640,2019-06-10 02:21:16.660,1,301,42,42
501,M,3000,2019-04-13 11:17:07.480,2019-07-26 12:44:05.320,7,201,375,375
502,M,3000,2019-03-18 17:33:17.680,2019-04-19 21:49:37.170,8,102,416,416
503,M,3000,2019-06-06 00:44:21.140,2019-08-07 19:13:25.880,7,202,379,379
504,M,3000,2019-06-26 22:28:49.420,2019-11-17 05:51:27.040,10,201,557,557
505,M,3000,2019-03-18 09:51:41.070,2019-07-25 01:13:50.410,3,103,133,133
506,M,3000,2019-03-18 05:31:03.430,2019-08-18 23:20:52.730,10,201,558,558
507,M,3000,2019-02-11 14:48:47.820,2019-03-25 01:04:01.960,1,206,40,40
508,M,3000,2019-06-19 05:32:53.800,2019-12-18 09:22:18.870,10,101,541,541
509,M,3000,2019-02-27 20:29:26.780,2019-06-16 07:45:03.660,7,304,408,408
510,M,3000,2019-02-03 07:44:53.100,2019-05-04 06:40:03.820,1,304,57,57
511,M,3000,2019-05-09 16:37:13.170,2019-06-19 01:09:53.390,2,201,90,90
512,M,3000,2019-05-25 15:43:52.110,2019-06-29 19:21:12.800,1,306,65,65
513,M,3000,2019-03-02 02:57:15.390,2019-05-17 05:37:04.470,7,103,366,366
514,M,3000,2019-02-21 00:58:36.310,2019-07-11 13:58:40.580,10,204,572,572
515,M,3000,2019-05-31 22:32:53.420,2019-11-03 20:30:29.920,5,304,295,295
516,M,3000,2019-06-24 01:09:45.470,2019-10-29 12:25:49.040,2,201,89,89
517,M,3000,2019-02-09 09:35:12.830,2019-04-22 22:48:04.950,7,304,407,407
518,M,3000,2019-05-06 19:03:58.840,2019-10-30 10:02:16.850,6,302,342,342
519,M,3000,2019-03-17 02:14:23.090,2019-08-17 19:18:27.610,3,104,136,136
520,M,3000,2019-04-07 02:07:30.770,2019-08-30 23:07:08.940,7,104,371,371
521,M,3000,2019-06-16 17:36:52.990,2019-10-24 20:47:13.460,1,101,4,4
522,M,3000,2019-06-19 10:27:25.130,2019-10-26 09:06:46.090,4,302,217,217
523,M,3000,2019-04-17 08:45:26.490,2019-09-24 17:59:59.230,9,204,511,511
524,M,3000,2019-03-31 19:08:36.520,2019-08-29 03:39:43.560,1,206,38,38
525,M,3000,2019-06-18 17:47:03.100,2019-11-29 04:05:27.250,4,101,169,169
526,M,3000,2019-05-01 15:24:51.120,2019-10-11 10:08:31.910,8,104,423,423
527,M,3000,2019-03-02 02:28:56.630,2019-08-14 02:20:03.500,10,205,576,576
528,M,3000,2019-05-01 18:31:36.670,2019-10-22 21:44:34.910,10,304,594,594
529,M,3000,2019-02-19 23:14:05.420,2019-07-14 00:18:09.090,4,305,233,233
530,M,3000,2019-06-03 00:47:15.160,2019-09-23 03:38:34.380,6,104,314,314
531,M,3000,2019-03-15 22:25:38.930,2019-06-29 15:31:11.460,4,101,169,169
532,M,3000,2019-04-20 01:27:24.640,2019-06-19 07:36:07.540,6,101,304,304
533,M,3000,2019-02-20 12:16:32.860,2019-08-06 13:07:00.640,6,201,319,319
534,M,3000,2019-03-23 08:32:54.920,2019-06-23 14:06:47.840,1,205,35,35
535,M,3000,2019-04-29 12:29:59.810,2019-08-05 14:31:21.830,4,101,169,169
536,M,3000,2019-04-27 10:17:35.380,2019-06-07 03:53:49.230,5,305,298,298
537,M,3000,2019-03-13 18:44:03.840,2019-05-23 17:29:54.350,9,204,508,508
538,M,3000,2019-05-28 02:22:34.690,2019-07-12 06:41:51.120,7,104,368,368
539,M,3000,2019-06-06 12:20:25.710,2019-07-17 10:00:17.930,1,305,63,63
540,M,3000,2019-06-08 08:04:43.630,2019-07-23 10:45:26.260,8,202,446,446
541,M,3000,2019-04-24 02:52:12.040,2019-06-25 18:56:18.910,5,101,242,242
542,M,3000,2019-05-03 04:43:41.240,2019-09-15 00:19:00.590,10,202,561,561
543,M,3000,2019-03-05 14:55:33.910,2019-07-16 08:36:20.740,2,103,79,79
544,M,3000,2019-03-15 10:39:43.430,2019-05-14 22:53:58.160,8,103,420,420
545,M,3000,2019-03-09 20:08:56.750,2019-04-26 13:38:51.080,7,104,370,370
546,M,3000,2019-02-28 15:09:40.350,2019-06-27 18:35:37.480,9,202,499,499
547,M,3000,2019-05-18 13:29:06.450,2019-09-04 13:42:36.950,8,101,412,412
548,M,3000,2019-05-25 20:46:59.100,2019-08-30 01:50:43.790,6,302,342,342
549,M,3000,2019-03-22 04:34:30.740,2019-08-14 22:38:12.160,2,301,104,104
550,M,3000,2019-06-09 06:16:58.440,2019-09-07 06:01:47.650,2,302,111,111
551,M,3000,2019-06-14 01:14:05.100,2019-09-16 09:37:00.890,7,103,366,366
552,M,3000,2019-02-07 12:36:47.660,2019-07-28 18:08:41.080,3,202,151,151
553,M,3000,2019-05-28 14:43:53.610,2019-08-09 02:28:46.540,10,305,599,599
554,M,3000,2019-03-23 19:41:23.720,2019-07-03 06:42:16.620,6,302,342,342
555,M,3000,2019-03-19 15:40:51.660,2019-08-15 16:34:03.210,1,206,39,39
556,M,3000,2019-04-24 11:49:42.350,2019-09-29 14:37:19.240,3,204,159,159
557,M,3000,2019-05-31 19:47:51.200,2019-07-25 14:49:37.950,9,203,506,506
558,M,3000,2019-04-08 21:35:44.610,2019-07-13 07:33:42.310,6,302,341,341
559,M,3000,2019-02-09 20:41:46.310,2019-07-22 17:45:59.790,7,204,388,388
560,M,3000,2019-05-17 05:26:49.950,2019-10-13 02:05:18.500,6,103,310,310
561,M,3000,2019-02-17 19:02:06.800,2019-08-08 13:00:49.240,10,301,583,583
562,M,3000,2019-04-12 07:17:11.160,2019-06-01 14:19:27.060,1,302,47,47
563,M,3000,2019-05-31 22:18:48.370,2019-08-08 01:04:09.760,6,102,308,308
564,M,3000,2019-03-27 06:42:11.620,2019-09-22 15:06:29.290,2,202,94,94
565,M,3000,2019-05-20 20:19:14.170,2019-11-04 02:08:52.370,9,105,489,489
566,M,3000,2019-02-21 07:09:48.520,2019-08-03 09:33:45.850,7,204,386,386
567,M,3000,2019-05-06 19:27:19.240,2019-06-26 22:14:12.150,6,303,346,346
568,M,3000,2019-06-09 05:24:20.470,2019-11-23 02:30:16.630,6,204,332,332
569,M,3000,2019-04-23 23:28:36.500,2019-07-05 10:27:18.740,7,304,404,404
570,M,3000,2019-03-08 04:15:18.030,2019-07-31 08:36:40.680,10,305,597,597
571,M,3000,2019-05-14 22:25:41.620,2019-08-09 10:55:54.680,4,104,181,181
572,M,3000,2019-03-14 18:12:38.150,2019-05-11 03:06:13.830,1,206,39,39
573,M,3000,2019-05-30 17:43:33.140,2019-11-12 11:01:58.920,5,301,280,280
574,M,3000,2019-04-08 05:09:39.460,2019-08-24 19:33:01.350,5,303,290,290
575,M,3000,2019-06-13 10:15:18.730,2019-10-04 15:10:50.030,3,102,130,130
576,M,3000,2019-03-18 04:53:11.740,2019-09-12 12:28:12.870,1,301,44,44
577,M,3000,2019-05-18 11:31:51.220,2019-11-13 16:30:25.350,3,104,139,139
578,M,3000,2019-03-06 14:05:43.060,2019-07-14 11:06:01.070,2,202,91,91
579,M,3000,2019-02-23 14:59:39.770,2019-07-06 06:00:52.480,5,204,269,269
580,M,3000,2019-05-22 18:37:22.750,2019-08-05 01:29:49.760,5,205,271,271
581,M,3000,2019-06-13 12:55:44.680,2019-09-05 07:25:54.970,1,103,12,12
582,M,3000,2019-04-06 16:41:57.530,2019-07-14 11:29:19.710,4,306,234,234
583,M,3000,2019-03-14 05:57:05.930,2019-05-11 15:06:22.740,9,105,490,490
584,M,3000,2019-03-13 03:57:06.980,2019-06-05 05:16:21.430,3,101,122,122
585,M,3000,2019-06-19 10:33:10.070,2019-08-06 05:01:33.500,10,103,549,549
586,M,3000,2019-03-10 01:48:51.260,2019-07-05 13:22:30.380,1,201,18,18
587,M,3000,2019-05-22 21:43:31.030,2019-11-09 16:07:21.000,6,102,306,306
588,M,3000,2019-05-30 03:35:09.140,2019-09-02 17:24:44.010,10,301,578,578
589,M,3000,2019-02-05 08:52:03.260,2019-06-11 13:32:44.630,10,305,597,597
590,M,3000,2019-02-06 16:40:17.460,2019-06-09 15:54:02.600,1,103,11,11
591,M,3000,2019-05-27 01:29:44.180,2019-11-12 00:04:11.280,7,301,393,393
592,M,3000,2019-06-04 08:08:19.240,2019-11-09 20:56:12.050,4,101,167,167
593,M,3000,2019-05-19 21:40:48.370,2019-07-24 04:55:51.320,10,301,581,581
594,M,3000,2019-02-21 22:53:35.750,2019-05-07 23:54:59.430,6,304,353,353
595,M,3000,2019-05-23 05:02:36.830,2019-07-18 13:44:37.020,8,206,464,464
596,M,3000,2019-02-13 11:35:00.880,2019-03-27 20:36:51.840,4,203,195,195
597,M,3000,2019-06-01 17:24:52.870,2019-09-06 10:14:50.820,5,201,253,253
598,M,3000,2019-06-08 19:13:22.290,2019-10-23 04:29:51.460,10,302,585,585
599,M,3000,2019-04-25 01:20:29.260,2019-07-10 07:45:05.790,9,304,532,532
600,M,3000,2019-02-18 04:59:08.220,2019-04-26 20:05:05.230,10,302,584,584
601,M,3000,2019-06-11 05:51:53.560,2019-11-28 08:22:43.670,8,107,581,581
602,M,3000,2019-05-11 09:20:04.330,2019-07-18 16:32:53.590,9,105,654,654
603,M,3000,2019-05-09 06:54:57.200,2019-06-15 12:47:11.000,8,205,615,615
604,M,3000,2019-03-11 15:54:41.140,2019-07-24 01:08:22.880,6,204,447,447
605,M,3000,2019-02-15 19:13:20.320,2019-08-17 11:45:00.920,3,101,165,165
606,M,3000,2019-02-25 23:27:03.640,2019-08-14 09:18:34.170,6,204,448,448
607,M,3000,2019-06-07 00:28:03.700,2019-10-28 00:33:12.430,10,102,725,725
608,M,3000,2019-03-05 17:42:00.430,2019-05-08 05:32:24.810,5,204,354,354
609,M,3000,2019-02-16 08:59:05.080,2019-05-10 08:31:42.760,10,302,783,783
610,M,3000,2019-06-04 05:45:55.750,2019-09-28 02:50:31.720,3,205,219,219
611,M,3000,2019-04-27 20:15:39.140,2019-06-03 20:53:21.750,4,103,234,234
612,M,3000,2019-04-05 09:19:19.020,2019-10-02 18:47:11.040,5,301,374,374
613,M,3000,2019-05-22 20:19:13.920,2019-07-09 12:04:19.210,7,202,507,507
614,M,3000,2019-06-22 05:33:44.510,2019-12-19 23:17:42.790,5,301,376,376
615,M,3000,2019-02-25 05:59:25.800,2019-06-20 16:34:57.060,10,303,786,786
616,M,3000,2019-05-27 07:15:20.600,2019-06-29 06:48:27.920,1,202,25,25
