rentalPeriodRentalNumber,rentalPeriodStartingTime,rentalPeriodEndingTime,periodCategory,rentalFee,rentalPeriodBillingNumber,rentalPeriodLineNumber
397,2019-06-10 13:49:29.970,2019-07-26 15:19:48.240,M,6000.0000,636,106555
397,2019-07-01 14:06:59.440,2019-10-16 19:08:29.820,M,8000.0000,323,52433
397,2019-07-13 05:29:37.430,2019-12-17 20:22:26.570,M,6000.0000,20,101053
398,2017-03-02 03:26:58.020,2017-05-22 05:32:43.740,M,6000.0000,428,52365
398,2018-01-25 07:52:52.400,2018-02-26 16:44:52.350,M,6000.0000,20,105181
398,2018-02-12 09:26:32.720,2018-03-30 03:00:49.170,M,8000.0000,636,129555
398,2018-05-03 19:26:55.410,2018-09-12 01:47:13.430,M,6000.0000,220,126070
398,2019-01-28 13:13:47.590,2019-07-28 21:06:14.890,M,8000.0000,323,63568
398,2019-03-13 23:30:47.300,2019-06-08 17:48:50.550,M,6000.0000,118,128538
398,2019-06-14 18:39:07.210,2019-08-24 21:45:27.930,M,6000.0000,740,126759
398,2019-07-08 12:50:39.070,2019-11-22 22:06:06.150,M,6000.0000,533,11369
399,2017-02-05 00:50:48.560,2017-03-18 10:43:21.340,M,6000.0000,533,14339
399,2017-02-16 21:00:03.020,2017-07-22 06:50:21.430,M,8000.0000,119,43
399,2017-05-19 23:49:53.150,2017-08-22 17:21:37.530,M,6000.0000,220,127070
399,2017-06-16 02:27:33.220,2017-09-05 15:19:55.130,M,8000.0000,740,127759
399,2018-04-27 08:13:59.120,2018-06-06 01:09:17.170,M,6000.0000,20,125760
399,2018-10-22 08:35:46.300,2019-03-28 00:51:52.840,M,6000.0000,428,63835
399,2019-06-02 19:52:37.590,2019-07-14 19:41:57.890,M,6000.0000,637,651
399,2019-07-20 20:17:09.110,2019-08-28 08:14:37.210,M,6000.0000,323,77535
400,2017-01-29 11:05:46.030,2017-05-08 11:45:49.220,M,6000.0000,119,3862
400,2017-11-08 23:21:17.420,2018-04-09 07:27:54.170,M,8000.0000,740,128759
400,2018-09-04 01:02:39.770,2018-11-09 09:21:22.750,M,6000.0000,20,126181
400,2018-09-16 01:25:07.510,2019-02-28 09:39:26.530,M,6000.0000,220,128070
400,2019-02-16 15:48:50.800,2019-03-28 18:49:29.630,M,6000.0000,428,76855
400,2019-05-11 16:49:35.240,2019-09-23 14:06:38.470,M,8000.0000,533,17951
400,2019-06-02 14:26:13.170,2019-09-30 04:05:41.710,M,6000.0000,323,84568
400,2019-07-19 03:45:55.870,2019-11-19 04:53:57.770,M,8000.0000,637,3958
401,2017-01-19 10:52:23.220,2017-04-04 23:15:06.660,M,6000.0000,637,7069
401,2017-11-11 03:44:33.050,2018-01-12 13:59:06.400,M,6000.0000,20,127181
401,2017-12-14 04:22:59.590,2018-06-01 11:08:17.860,M,6000.0000,221,2321
401,2018-05-30 08:39:08.850,2018-10-21 19:42:17.400,M,8000.0000,119,6824
401,2018-11-27 08:01:56.220,2019-04-21 09:56:50.250,M,6000.0000,323,102169
401,2019-04-16 06:15:14.320,2019-07-04 15:35:25.790,M,6000.0000,533,22581
401,2019-07-14 00:25:25.710,2019-11-18 23:06:25.800,M,6000.0000,428,84835
402,2017-01-29 22:18:03.520,2017-03-05 10:48:40.690,M,6000.0000,119,11834
402,2017-03-06 05:08:27.870,2017-06-21 02:38:39.060,M,6000.0000,221,2896
402,2017-09-01 16:52:33.860,2017-11-10 11:49:15.180,M,6000.0000,20,128181
402,2018-05-08 21:41:01.350,2018-11-04 17:27:54.640,M,6000.0000,637,10857
402,2018-12-19 06:32:49.680,2019-02-04 10:47:45.130,M,6000.0000,323,105568
402,2019-04-11 09:42:52.900,2019-08-06 11:47:09.160,M,6000.0000,533,28203
402,2019-05-31 12:59:25.370,2019-07-15 14:46:33.970,M,6000.0000,741,4175
402,2019-08-20 19:36:13.610,2020-01-05 10:50:22.500,M,6000.0000,428,101503
403,2018-02-08 02:13:39.210,2018-04-07 22:46:24.150,M,6000.0000,637,15256
403,2018-04-04 16:13:42.800,2018-05-09 13:09:08.710,M,6000.0000,119,13812
403,2018-05-15 04:30:14.940,2018-10-13 14:29:37.310,M,6000.0000,428,105835
403,2018-06-04 22:18:14.700,2018-11-01 14:34:12.360,M,6000.0000,741,7614
403,2018-07-20 14:33:41.600,2018-08-29 06:34:02.970,M,6000.0000,21,546
403,2018-11-19 18:21:59.120,2018-12-27 06:41:30.250,M,6000.0000,533,35339
403,2019-05-18 15:27:38.000,2019-08-08 06:31:38.500,M,6000.0000,323,126568
403,2019-05-31 02:26:18.860,2019-10-06 18:58:33.750,M,8000.0000,221,10076
404,2017-03-23 12:15:49.940,2017-06-11 18:11:03.950,M,6000.0000,119,20096
404,2017-04-01 15:54:49.130,2017-05-24 04:58:04.510,M,6000.0000,221,11513
404,2017-11-02 15:35:16.150,2018-04-16 04:55:40.110,M,6000.0000,533,43581
404,2018-05-05 00:51:59.470,2018-08-06 21:06:34.430,M,6000.0000,21,3654
404,2018-08-04 10:07:15.640,2018-12-07 04:59:16.640,M,6000.0000,637,17904
404,2019-05-06 22:07:36.700,2019-07-26 06:16:56.370,M,6000.0000,323,127568
404,2019-06-05 01:01:17.070,2019-09-13 10:03:38.780,M,8000.0000,428,126835
405,2017-11-06 21:13:38.460,2018-04-15 10:51:53.210,M,6000.0000,323,128568
405,2017-12-16 17:52:23.860,2018-03-12 14:28:38.160,M,8000.0000,637,21651
405,2018-09-06 13:48:28.600,2019-01-05 22:21:02.460,M,6000.0000,221,14472
405,2019-01-09 07:05:55.790,2019-04-20 14:48:03.690,M,6000.0000,119,20755
405,2019-01-27 08:31:52.610,2019-06-16 06:03:33.860,M,6000.0000,428,127835
405,2019-02-22 10:25:06.420,2019-05-03 07:53:51.740,M,6000.0000,21,6444
405,2019-04-19 00:46:37.440,2019-09-12 11:18:23.250,M,6000.0000,533,53369
406,2017-05-17 06:08:31.600,2017-06-19 02:41:12.030,M,8000.0000,221,17949
406,2017-07-05 20:47:40.510,2017-10-02 23:00:18.330,M,8000.0000,637,28069
406,2017-08-16 04:03:07.580,2018-01-13 06:04:42.320,M,6000.0000,324,811
406,2017-12-23 01:48:02.460,2018-05-27 22:47:25.930,M,6000.0000,533,64581
406,2018-03-24 17:31:17.300,2018-06-16 12:36:21.560,M,6000.0000,21,10590
406,2018-07-05 07:19:58.130,2018-11-26 19:52:32.590,M,6000.0000,428,128835
406,2019-07-14 13:44:49.250,2019-08-27 20:59:03.900,M,6000.0000,119,21043
407,2017-04-07 19:52:59.700,2017-06-30 20:19:00.960,M,6000.0000,324,4772
407,2017-10-22 03:29:45.990,2018-04-08 05:47:54.500,M,6000.0000,221,23321
407,2017-10-24 18:05:39.870,2018-02-04 05:31:02.610,M,6000.0000,429,921
407,2018-08-04 03:10:39.760,2018-09-12 21:27:50.590,M,6000.0000,21,14784
407,2019-02-02 21:19:31.780,2019-04-22 16:16:38.380,M,8000.0000,119,27824
407,2019-02-14 10:21:34.250,2019-04-23 07:07:59.920,M,6000.0000,637,36256
407,2019-08-15 16:02:42.240,2019-12-03 15:15:29.520,M,6000.0000,533,77339
408,2017-07-29 14:14:11.430,2018-01-19 02:37:30.170,M,6000.0000,221,31076
408,2017-08-27 19:03:07.460,2017-11-17 16:07:38.470,M,6000.0000,324,10070
408,2017-10-06 13:38:14.920,2018-02-05 04:08:21.040,M,6000.0000,533,85581
408,2018-01-16 15:17:09.550,2018-05-01 14:53:14.780,M,6000.0000,21,17766
408,2018-03-27 12:16:43.830,2018-09-21 21:25:09.830,M,8000.0000,119,34812
408,2018-06-03 17:04:51.590,2018-11-29 05:05:35.090,M,8000.0000,741,28614
408,2019-01-21 18:28:31.790,2019-04-19 21:02:32.830,M,6000.0000,637,42651
408,2019-05-02 01:05:10.870,2019-07-02 04:12:40.030,M,6000.0000,429,3193
409,2017-04-27 17:28:12.990,2017-07-28 02:22:43.350,M,6000.0000,429,7560
409,2017-10-21 09:07:26.220,2018-03-28 08:27:37.620,M,8000.0000,221,35472
409,2018-04-11 02:49:45.650,2018-08-26 18:27:50.520,M,6000.0000,324,10218
409,2018-09-10 08:26:19.670,2019-03-07 20:59:41.960,M,6000.0000,119,41755
409,2018-09-18 11:57:51.780,2018-11-30 01:01:33.070,M,6000.0000,21,20867
409,2019-06-06 16:34:12.820,2019-11-11 12:58:09.070,M,6000.0000,637,52857
410,2017-03-28 15:09:43.920,2017-05-17 01:29:25.490,M,6000.0000,221,44321
410,2017-12-08 01:46:44.720,2018-01-22 18:58:34.380,M,6000.0000,741,43080
410,2018-04-04 18:55:00.130,2018-08-26 08:04:05.200,M,6000.0000,533,106581
410,2018-05-25 10:21:05.540,2018-08-20 08:11:29.670,M,6000.0000,637,63651
410,2018-12-26 02:31:21.050,2019-02-28 15:37:56.310,M,6000.0000,119,42043
410,2019-04-04 01:57:40.820,2019-06-20 06:34:25.970,M,6000.0000,324,15167
410,2019-06-24 15:25:39.410,2019-10-27 05:11:46.320,M,6000.0000,429,10625
410,2019-07-01 09:21:56.920,2019-11-24 04:46:29.020,M,8000.0000,21,21546
411,2018-02-03 05:33:04.620,2018-07-03 01:06:57.530,M,6000.0000,21,27444
411,2018-02-07 00:16:48.960,2018-03-17 21:43:19.140,M,6000.0000,119,53834
411,2018-02-22 01:07:35.800,2018-06-26 10:06:29.360,M,6000.0000,324,18445
411,2018-10-26 07:36:53.490,2019-03-12 18:30:01.320,M,6000.0000,637,78256
411,2018-11-24 20:32:12.950,2019-05-21 23:13:10.530,M,6000.0000,533,129581
411,2019-06-25 17:57:25.280,2019-09-01 12:24:47.100,M,8000.0000,221,53513
411,2019-07-07 17:27:21.120,2019-08-24 12:25:47.980,M,6000.0000,429,16724
412,2017-03-30 16:43:04.600,2017-07-18 17:30:33.910,M,6000.0000,534,379
412,2017-03-31 08:57:44.000,2017-05-07 15:29:54.630,M,8000.0000,119,62755
412,2018-03-12 09:37:21.850,2018-05-02 12:01:32.170,M,6000.0000,21,35784
412,2019-01-17 01:33:55.160,2019-05-13 00:32:16.230,M,8000.0000,221,65321
412,2019-04-12 03:24:28.690,2019-07-16 05:36:42.530,M,6000.0000,429,17577
412,2019-07-05 13:42:09.990,2019-10-27 07:58:32.400,M,8000.0000,324,21811
413,2017-06-14 00:06:17.170,2017-11-01 04:48:05.410,M,6000.0000,324,31070
413,2017-07-17 14:56:57.440,2017-08-29 06:41:41.210,M,6000.0000,21,41867
413,2017-12-07 22:36:44.340,2018-03-01 10:22:52.790,M,6000.0000,221,77472
413,2017-12-29 20:04:10.960,2018-02-15 23:28:06.000,M,6000.0000,119,63043
413,2018-05-08 04:06:56.470,2018-11-05 16:56:28.610,M,6000.0000,429,21921
413,2018-08-09 14:44:26.410,2018-10-11 12:57:06.520,M,6000.0000,637,101904
413,2018-09-15 11:52:37.630,2018-12-25 17:46:36.090,M,6000.0000,534,3136
414,2017-08-03 21:25:22.130,2017-12-11 08:51:03.190,M,6000.0000,637,105651
414,2017-10-21 09:04:28.530,2018-03-03 19:27:08.920,M,6000.0000,119,76812
414,2017-11-21 07:57:21.360,2018-01-04 22:40:02.350,M,6000.0000,21,42546
414,2018-01-28 11:23:17.900,2018-07-06 16:08:01.770,M,6000.0000,741,85080
414,2018-12-02 17:14:57.290,2019-02-08 19:07:53.610,M,6000.0000,221,86321
414,2019-01-07 18:57:03.060,2019-03-28 06:39:09.780,M,8000.0000,429,28560
414,2019-03-18 16:53:35.750,2019-09-08 01:50:51.360,M,6000.0000,534,7364
414,2019-08-20 01:57:31.770,2020-01-17 20:03:29.810,M,6000.0000,324,36167
415,2017-07-31 18:37:42.010,2017-10-04 20:34:25.000,M,6000.0000,119,84043
415,2018-10-22 17:44:53.860,2019-01-06 07:20:01.540,M,6000.0000,637,126651
415,2018-11-12 12:04:36.250,2019-01-17 02:48:12.050,M,6000.0000,21,52590
415,2018-12-21 18:08:43.780,2019-03-11 03:34:00.280,M,6000.0000,534,10709
415,2019-05-08 19:21:55.320,2019-06-22 02:16:08.550,M,6000.0000,429,37724
415,2019-06-17 05:49:23.760,2019-11-11 16:25:37.060,M,6000.0000,324,42811
415,2019-08-19 15:13:08.520,2019-12-30 01:30:11.580,M,6000.0000,221,101949
416,2017-08-04 09:45:35.530,2017-10-01 10:28:51.620,M,6000.0000,429,42921
416,2017-11-09 23:37:41.490,2018-03-28 05:18:59.200,M,6000.0000,21,62867
416,2018-02-03 10:14:28.860,2018-07-01 13:27:52.900,M,6000.0000,637,127651
416,2018-11-27 12:07:02.910,2019-02-28 16:09:40.910,M,6000.0000,324,52218
416,2019-04-15 18:48:32.480,2019-08-25 12:21:41.500,M,6000.0000,119,104096
416,2019-08-16 15:35:38.140,2020-01-17 08:59:26.510,M,6000.0000,534,14445
416,2019-08-27 06:06:44.910,2019-10-18 06:05:32.660,M,6000.0000,221,107321
417,2017-07-24 16:26:42.330,2017-09-24 14:40:14.440,M,6000.0000,637,128651
417,2017-08-27 13:46:31.940,2017-11-15 23:45:50.820,M,8000.0000,221,130321
417,2017-10-08 05:44:31.450,2017-12-07 14:08:28.970,M,6000.0000,429,52625
417,2018-08-19 19:24:20.460,2019-01-26 22:05:21.850,M,6000.0000,324,63811
417,2018-10-11 04:28:54.830,2019-01-15 03:07:21.860,M,6000.0000,119,105043
417,2018-10-21 06:49:38.930,2019-03-11 12:32:16.300,M,6000.0000,741,129080
417,2019-05-05 04:44:22.200,2019-08-20 20:05:28.320,M,6000.0000,534,18975
417,2019-05-09 14:45:14.530,2019-09-16 03:41:00.920,M,6000.0000,21,63546
418,2017-05-15 23:45:00.130,2017-09-28 07:05:20.900,M,6000.0000,21,77784
418,2018-04-20 18:03:20.270,2018-07-23 10:41:50.530,M,8000.0000,119,125755
418,2018-05-17 01:21:36.180,2018-07-28 10:03:30.830,M,6000.0000,222,50
418,2018-11-12 00:18:10.030,2019-02-16 08:43:58.810,M,8000.0000,429,63921
418,2019-03-11 11:42:34.410,2019-05-14 01:26:37.870,M,6000.0000,324,78167
418,2019-05-12 23:21:42.890,2019-09-11 21:40:45.610,M,6000.0000,534,21379
418,2019-07-31 18:11:23.780,2019-11-25 14:44:18.390,M,6000.0000,638,238
419,2017-06-11 23:41:35.840,2017-07-30 10:59:36.140,M,8000.0000,638,3489
419,2017-08-23 10:28:39.550,2017-11-29 02:53:53.540,M,6000.0000,119,126043
419,2017-09-02 13:56:11.870,2017-11-30 12:36:00.490,M,6000.0000,534,28364
419,2017-09-13 16:46:45.930,2017-11-18 01:12:45.140,M,6000.0000,429,79724
419,2018-03-17 07:56:28.280,2018-07-12 00:03:55.810,M,6000.0000,324,84811
419,2018-07-24 21:58:32.620,2018-12-25 03:40:36.360,M,6000.0000,222,2967
419,2019-01-27 16:58:37.090,2019-06-04 05:27:53.500,M,6000.0000,21,84546
420,2017-04-03 10:08:50.020,2017-06-15 16:29:06.390,M,6000.0000,429,84921
420,2017-08-17 18:04:59.520,2017-09-30 00:46:54.970,M,6000.0000,21,101766
420,2017-11-15 06:13:39.940,2018-02-05 00:17:25.890,M,6000.0000,638,7863
420,2018-01-23 00:53:19.530,2018-03-21 08:51:04.820,M,6000.0000,534,35445
420,2018-06-13 02:44:21.930,2018-08-15 06:33:33.930,M,6000.0000,324,102445
420,2018-09-30 10:23:21.460,2018-12-25 05:40:18.100,M,6000.0000,742,8511
420,2019-01-20 09:46:55.610,2019-03-23 06:30:43.890,M,6000.0000,119,127043
420,2019-06-08 23:29:27.850,2019-08-16 02:11:25.360,M,6000.0000,222,7143
421,2017-08-19 19:12:48.920,2017-12-17 20:23:09.940,M,6000.0000,119,128043
421,2017-09-14 14:37:52.360,2018-01-02 03:04:26.160,M,6000.0000,21,105546
421,2017-10-07 22:24:46.900,2017-12-19 09:15:47.480,M,6000.0000,429,101577
421,2018-04-03 23:16:35.840,2018-05-19 16:31:51.150,M,6000.0000,222,12777
421,2018-05-30 08:37:12.770,2018-10-11 10:15:58.650,M,6000.0000,638,11478
421,2018-11-23 16:01:29.540,2019-02-01 08:53:14.890,M,6000.0000,534,42379
421,2019-06-06 14:56:41.710,2019-09-29 09:35:37.950,M,6000.0000,324,105811
422,2017-09-14 14:17:35.010,2018-01-30 05:47:28.220,M,6000.0000,742,14418
422,2017-09-30 17:02:06.620,2018-03-03 04:57:52.150,M,8000.0000,534,52709
422,2017-12-27 10:09:02.700,2018-06-09 01:04:42.660,M,6000.0000,21,125867
422,2018-02-22 19:25:14.590,2018-05-22 11:48:29.550,M,6000.0000,120,307
422,2018-02-25 00:55:15.510,2018-08-17 09:53:25.420,M,6000.0000,429,105921
422,2018-04-05 05:19:08.600,2018-07-31 00:41:03.290,M,6000.0000,324,126811
422,2018-06-07 16:19:06.710,2018-11-30 22:05:37.370,M,6000.0000,638,15050
422,2019-02-28 08:57:51.720,2019-06-30 13:03:14.980,M,6000.0000,222,13631
423,2017-01-15 04:45:35.500,2017-06-12 17:20:15.070,M,8000.0000,742,18155
423,2017-02-11 12:01:53.310,2017-05-19 18:16:40.870,M,6000.0000,534,63379
423,2018-03-04 15:06:00.520,2018-07-01 02:44:12.820,M,6000.0000,222,18333
423,2018-10-08 17:57:57.260,2019-03-06 09:04:18.100,M,6000.0000,21,126546
423,2018-11-08 22:18:59.200,2018-12-17 03:50:56.680,M,6000.0000,638,19230
423,2019-03-29 15:04:15.700,2019-06-12 23:45:55.360,M,6000.0000,120,4436
423,2019-06-21 18:27:38.990,2019-10-14 01:49:06.730,M,6000.0000,429,126921
423,2019-08-18 14:54:50.950,2019-11-14 17:20:20.870,M,8000.0000,324,127811
424,2017-05-22 15:37:21.530,2017-07-19 09:57:31.020,M,6000.0000,222,21050
424,2017-12-17 01:01:40.720,2018-01-29 02:29:50.260,M,6000.0000,638,21238
424,2018-04-24 06:26:57.330,2018-09-11 09:08:08.120,M,6000.0000,21,127546
424,2019-01-21 00:53:10.200,2019-05-22 05:18:10.620,M,6000.0000,120,7094
424,2019-01-21 22:18:08.610,2019-05-30 19:58:04.640,M,6000.0000,324,128811
424,2019-01-28 08:38:48.940,2019-07-02 01:48:00.720,M,8000.0000,534,77445
424,2019-06-05 23:31:33.660,2019-08-31 16:59:41.020,M,6000.0000,429,127921
425,2017-10-14 10:44:26.660,2018-01-05 11:00:56.540,M,8000.0000,534,84379
425,2017-10-28 16:09:00.820,2018-01-12 08:16:38.260,M,8000.0000,325,196
425,2017-11-06 11:09:02.030,2018-02-04 13:13:47.130,M,6000.0000,429,128921
425,2018-02-20 17:32:08.640,2018-03-31 19:12:36.280,M,6000.0000,222,28143
425,2018-07-15 13:39:33.940,2018-10-08 23:32:12.550,M,6000.0000,21,128546
425,2019-05-12 14:43:55.170,2019-07-03 05:01:49.580,M,6000.0000,120,10823
425,2019-08-28 07:56:37.950,2019-10-07 14:34:54.420,M,6000.0000,638,28863
426,2017-03-16 19:47:06.300,2017-08-21 13:50:14.340,M,6000.0000,22,662
426,2017-03-25 01:46:54.370,2017-08-04 06:52:50.600,M,6000.0000,430,1162
426,2017-05-09 14:41:55.250,2017-09-22 17:13:12.600,M,8000.0000,120,14091
426,2017-12-19 14:51:29.570,2018-05-09 10:33:05.460,M,8000.0000,325,6569
426,2018-01-08 07:05:47.900,2018-06-13 02:52:46.640,M,6000.0000,222,34631
426,2018-12-18 08:04:59.670,2019-05-31 18:04:30.070,M,6000.0000,534,102975
426,2019-02-07 01:41:22.440,2019-05-27 18:17:01.970,M,6000.0000,638,36050
427,2017-02-10 00:15:27.150,2017-05-09 02:16:05.150,M,6000.0000,222,42050
427,2017-04-06 05:12:25.370,2017-05-27 14:50:58.900,M,6000.0000,325,6727
427,2017-04-08 19:24:20.190,2017-07-10 07:18:59.500,M,6000.0000,430,3281
427,2017-06-14 15:10:49.140,2017-08-28 17:18:13.630,M,6000.0000,534,105379
427,2017-06-18 10:21:05.140,2017-08-26 10:38:13.890,M,6000.0000,120,17647
427,2017-11-22 13:49:39.640,2018-03-15 02:39:24.580,M,6000.0000,22,2776
427,2019-03-19 16:13:39.430,2019-09-16 03:45:53.500,M,6000.0000,638,42238
428,2017-04-29 01:47:12.340,2017-07-10 08:19:11.440,M,8000.0000,120,21307
428,2018-08-15 14:56:44.140,2019-01-16 02:35:29.940,M,6000.0000,430,7156
428,2018-08-21 21:26:44.670,2018-11-19 09:45:27.260,M,6000.0000,325,10441
428,2018-10-31 21:31:12.680,2019-02-28 03:12:34.260,M,6000.0000,742,52681
428,2018-12-04 23:25:23.960,2019-03-29 00:06:05.070,M,6000.0000,22,6611
428,2018-12-11 20:45:59.350,2019-06-11 07:21:32.320,M,8000.0000,534,126379
428,2019-02-17 21:35:32.640,2019-03-31 05:59:40.850,M,6000.0000,222,54777
428,2019-07-26 18:50:19.470,2020-01-15 00:56:22.330,M,8000.0000,638,53478
429,2017-07-21 02:29:17.860,2017-10-09 16:08:56.310,M,8000.0000,120,28094
429,2018-03-16 16:28:40.970,2018-05-21 02:22:06.730,M,6000.0000,534,127379
429,2018-03-25 00:56:22.260,2018-06-03 06:19:31.200,M,8000.0000,638,63238
429,2018-06-26 08:45:22.900,2018-09-04 16:17:23.110,M,6000.0000,22,9869
429,2018-07-05 07:36:41.660,2018-12-15 09:26:18.830,M,6000.0000,222,63050
429,2018-08-06 15:05:13.120,2018-09-16 14:03:57.520,M,6000.0000,325,13832
429,2019-04-05 11:08:46.960,2019-08-10 21:48:24.870,M,8000.0000,430,11385
430,2017-06-01 13:37:27.120,2017-07-06 12:19:59.140,M,6000.0000,534,128379
430,2018-05-28 11:44:39.120,2018-07-15 21:30:29.530,M,6000.0000,638,78050
430,2018-07-21 19:11:12.900,2018-10-11 03:30:58.280,M,8000.0000,430,14906
430,2018-12-11 07:13:41.930,2019-02-11 06:23:33.980,M,6000.0000,325,17461
430,2019-01-06 04:08:10.470,2019-06-30 00:15:46.140,M,8000.0000,222,76631
430,2019-06-23 10:20:03.380,2019-10-27 04:33:36.080,M,6000.0000,22,13582
430,2019-08-20 08:10:16.020,2019-10-06 22:53:54.230,M,6000.0000,120,35091
431,2017-06-05 09:32:41.020,2017-11-15 17:23:35.350,M,6000.0000,430,18252
431,2017-06-25 13:55:23.760,2017-08-14 00:23:22.320,M,6000.0000,535,301
431,2017-12-22 13:05:42.840,2018-04-13 16:31:04.790,M,8000.0000,22,18642
431,2018-07-01 12:53:08.160,2018-08-07 08:33:42.320,M,6000.0000,325,21196
431,2018-09-09 14:59:49.890,2019-01-19 20:17:06.670,M,6000.0000,638,84238
431,2019-03-06 14:18:58.530,2019-07-22 13:10:45.250,M,6000.0000,222,84050
431,2019-06-04 18:15:59.160,2019-10-31 16:14:08.310,M,8000.0000,120,42307
432,2017-05-25 22:54:53.090,2017-09-29 14:02:29.220,M,8000.0000,222,102333
432,2017-06-19 03:58:58.440,2017-10-09 02:50:06.730,M,6000.0000,22,21662
432,2017-09-13 08:06:32.450,2018-02-04 11:01:10.430,M,6000.0000,430,22162
432,2017-10-11 23:52:48.690,2018-02-27 10:52:20.110,M,8000.0000,742,102155
432,2018-05-27 02:28:16.640,2018-06-30 17:10:14.860,M,6000.0000,535,3428
432,2018-07-12 16:20:50.430,2018-10-24 12:40:25.380,M,8000.0000,325,27569
432,2018-08-16 01:52:20.650,2018-10-14 02:23:45.190,M,6000.0000,120,52823
432,2019-08-29 05:36:56.710,2020-02-06 07:33:21.170,M,6000.0000,638,103230
433,2017-01-21 02:32:06.700,2017-06-26 02:11:32.780,M,8000.0000,222,105050
433,2017-02-25 22:11:06.260,2017-05-20 06:40:48.440,M,6000.0000,535,8082
433,2017-09-07 04:48:31.780,2017-11-20 08:41:29.550,M,6000.0000,22,27611
433,2017-12-07 06:46:24.150,2018-05-26 07:39:28.700,M,8000.0000,742,107714
433,2018-07-27 17:32:13.460,2018-10-23 06:46:13.770,M,6000.0000,638,105238
433,2018-10-21 19:08:40.540,2019-03-19 16:14:33.560,M,6000.0000,430,28156
433,2018-11-02 11:53:07.680,2018-12-13 00:18:01.870,M,6000.0000,325,34832
433,2019-01-04 18:00:34.490,2019-03-09 15:01:54.620,M,6000.0000,120,63307
434,2017-05-02 09:53:45.070,2017-08-09 19:27:05.930,M,8000.0000,22,34582
434,2017-06-05 13:19:38.890,2017-08-04 16:44:56.210,M,6000.0000,325,42196
434,2017-10-24 14:28:41.090,2018-03-15 14:05:40.130,M,6000.0000,120,77091
434,2018-10-03 12:36:23.690,2018-12-09 06:37:04.920,M,6000.0000,638,126238
434,2019-04-16 14:40:14.680,2019-08-27 01:58:23.070,M,8000.0000,430,35906
434,2019-04-28 17:17:21.410,2019-09-21 16:08:51.230,M,6000.0000,535,12127
434,2019-07-27 19:22:39.630,2019-09-26 05:57:34.330,M,6000.0000,222,126050
435,2018-02-07 14:57:12.350,2018-05-19 18:11:48.670,M,8000.0000,535,14389
435,2018-05-21 23:21:40.940,2018-10-31 00:29:31.050,M,6000.0000,430,43162
435,2018-08-01 01:06:05.580,2019-01-03 05:38:23.640,M,6000.0000,222,127050
435,2018-10-25 10:02:17.750,2019-04-09 16:42:01.900,M,6000.0000,638,127238
435,2018-12-30 12:20:08.090,2019-03-06 19:41:49.720,M,6000.0000,325,52441
435,2019-05-25 06:30:29.900,2019-11-16 08:59:46.400,M,6000.0000,120,84307
435,2019-07-14 06:35:47.710,2019-12-15 05:19:37.330,M,6000.0000,22,42662
436,2017-12-12 21:11:33.130,2018-02-05 08:28:31.310,M,6000.0000,325,63196
436,2018-04-17 17:28:16.060,2018-09-17 03:15:57.070,M,8000.0000,638,128238
436,2018-09-10 19:04:50.970,2018-11-03 07:43:42.770,M,8000.0000,22,51869
436,2019-01-09 04:13:46.190,2019-04-24 05:11:39.720,M,8000.0000,430,53385
436,2019-04-01 05:44:10.500,2019-06-19 06:29:48.190,M,6000.0000,120,101647
436,2019-06-03 01:02:48.690,2019-11-30 01:41:48.980,M,6000.0000,743,3360
436,2019-06-29 01:18:10.700,2019-08-02 08:58:25.760,M,8000.0000,535,17536
436,2019-08-02 20:42:21.390,2019-10-24 03:56:33.950,M,6000.0000,222,128050
437,2017-05-15 21:54:56.430,2017-08-25 08:02:24.420,M,6000.0000,639,3306
437,2017-08-29 22:45:59.660,2018-01-28 21:55:24.340,M,6000.0000,120,105307
437,2017-09-07 06:24:04.270,2017-12-18 16:59:52.870,M,6000.0000,22,63662
437,2017-09-07 23:30:49.210,2017-11-13 17:33:02.060,M,6000.0000,325,76832
437,2017-11-18 01:02:13.720,2018-03-16 17:46:08.020,M,6000.0000,223,98
437,2018-08-22 12:17:01.000,2018-12-12 14:24:20.100,M,6000.0000,535,21301
437,2018-08-29 16:45:01.550,2018-12-13 14:27:43.970,M,6000.0000,430,64162
438,2017-02-12 01:44:06.490,2017-04-06 20:08:48.000,M,8000.0000,325,84196
438,2018-05-02 19:02:58.570,2018-07-09 06:34:25.140,M,6000.0000,120,126307
438,2018-06-15 13:31:53.640,2018-10-10 01:24:04.000,M,6000.0000,223,4463
438,2018-07-26 18:13:01.870,2018-11-07 17:51:07.570,M,6000.0000,430,77906
438,2018-08-01 03:45:58.370,2018-12-10 18:09:30.690,M,6000.0000,535,29082
438,2019-02-13 16:00:15.340,2019-07-24 13:31:03.150,M,6000.0000,22,76582
438,2019-05-15 18:57:52.330,2019-10-24 21:02:25.060,M,6000.0000,639,5808
439,2017-06-18 14:36:57.780,2017-09-10 14:52:38.550,M,6000.0000,535,35389
439,2017-07-16 05:58:47.780,2017-10-02 20:18:56.680,M,8000.0000,223,7324
439,2017-09-06 19:47:07.130,2017-10-31 03:23:53.860,M,6000.0000,120,127307
439,2017-10-03 05:49:08.460,2018-03-14 16:16:22.480,M,8000.0000,22,84662
439,2017-11-16 03:07:38.370,2018-04-02 13:43:45.660,M,8000.0000,325,101461
