utilityCostNumber,electricityUnitRate,waterUnitRate,utilityTimeCreated,utilityRentalNumber,utilityStartingTime,utilityBillingNumber,utilityLineNumber
3388,7.0000,1.0000,2019-11-10 14:58:56.330,418,2019-07-31 18:11:23.780,160,127381
3389,7.0000,1.0000,2019-02-05 23:30:43.820,540,2017-02-26 21:27:38.890,207,128005
3390,7.0000,1.0000,2019-12-09 14:07:31.480,547,2018-10-28 19:26:30.450,211,3119
3391,7.0000,1.0000,2019-08-20 15:08:28.020,531,2019-06-04 20:20:13.370,204,77386
3392,7.0000,1.0000,2017-05-05 18:29:19.050,317,2018-07-28 19:52:25.610,121,14054
3393,7.0000,1.0000,2017-06-14 14:39:59.030,459,2017-08-09 18:35:26.950,176,105399
3394,7.0000,1.0000,2017-05-13 18:20:40.400,461,2018-09-02 00:38:38.780,177,77237
3395,7.0000,1.0000,2017-10-05 12:19:44.300,311,2019-03-19 00:11:10.200,119,43
3396,7.0000,1.0000,2017-05-16 02:19:18.250,352,2017-12-29 13:09:29.690,134,21221
3397,7.0000,1.0000,2017-06-21 18:39:14.070,584,2019-05-15 06:43:05.960,225,18350
3398,7.0000,1.0000,2019-04-08 07:38:42.780,465,2018-01-22 08:26:07.180,179,17851
3399,7.0000,1.0000,2017-07-22 19:58:25.210,360,2018-09-15 23:32:15.730,137,106155
3400,7.0000,1.0000,2018-05-09 14:24:27.230,501,2019-03-05 03:02:49.880,193,6470
3401,7.0000,1.0000,2018-09-04 12:07:51.240,401,2017-01-19 10:52:23.220,153,105384
3402,7.0000,1.0000,2018-11-18 11:40:40.780,376,2018-09-20 00:58:49.410,144,10898
3403,7.0000,1.0000,2017-12-09 13:48:23.160,370,2018-05-04 05:15:05.800,141,52176
3404,7.0000,1.0000,2018-09-10 04:37:27.800,601,2017-11-27 04:35:23.440,231,84177
3405,7.0000,1.0000,2018-01-10 22:38:40.220,13,2018-05-05 19:16:35.170,6,2866
3406,7.0000,1.0000,2017-06-03 22:32:30.810,363,2018-05-21 03:53:58.700,138,126276
3407,7.0000,1.0000,2018-06-26 01:37:53.420,545,2019-03-30 10:31:46.520,210,27526
3408,7.0000,1.0000,2019-06-30 04:17:03.310,558,2017-10-03 14:51:18.020,215,6534
3409,7.0000,1.0000,2018-07-18 23:16:06.220,555,2017-06-16 13:51:16.200,214,3530
3410,7.0000,1.0000,2017-06-27 16:13:24.340,539,2018-03-30 16:29:49.070,207,84005
3411,7.0000,1.0000,2017-04-16 07:23:22.850,562,2017-10-24 14:33:01.820,216,84962
3412,7.0000,1.0000,2018-01-07 07:31:31.120,560,2017-09-07 03:33:42.590,216,3950
3413,7.0000,1.0000,2018-02-26 11:07:22.580,485,2019-04-07 23:49:17.320,186,101656
3414,7.0000,1.0000,2017-05-21 17:20:06.000,521,2018-11-21 16:57:29.020,200,84840
3415,7.0000,1.0000,2018-10-10 23:15:32.470,546,2017-01-03 04:15:07.190,210,34881
3416,7.0000,1.0000,2019-06-04 11:30:50.030,577,2019-05-31 18:30:48.670,222,84050
3417,7.0000,1.0000,2018-07-18 08:51:55.020,530,2019-05-22 13:01:02.380,204,14386
3418,7.0000,1.0000,2019-02-06 13:07:25.170,479,2019-07-18 20:05:04.810,184,85663
3419,7.0000,1.0000,2018-12-05 06:42:27.250,567,2017-10-02 08:50:14.830,218,53096
3420,7.0000,1.0000,2018-06-05 05:18:03.260,550,2017-03-26 07:13:36.250,212,6792
3421,7.0000,1.0000,2018-04-14 06:01:40.610,590,2019-01-19 09:33:34.620,227,54300
3422,7.0000,1.0000,2018-07-14 06:58:50.680,146,2017-06-28 06:06:27.450,57,10413
3423,7.0000,1.0000,2019-05-15 06:11:53.100,601,2017-10-01 20:26:47.030,231,80115
3424,7.0000,1.0000,2017-09-26 08:21:07.090,594,2019-04-24 01:24:07.220,229,13784
3425,7.0000,1.0000,2018-07-21 21:44:20.280,466,2018-08-01 17:58:44.940,179,84204
3426,7.0000,1.0000,2018-09-06 07:24:28.300,562,2017-11-25 04:33:45.920,216,101486
3427,7.0000,1.0000,2019-05-05 03:02:30.840,494,2017-08-27 13:00:13.410,190,14394
3428,7.0000,1.0000,2019-11-27 21:09:18.630,564,2018-03-12 12:21:46.120,217,34720
3429,7.0000,1.0000,2017-03-12 21:11:10.790,503,2019-05-14 12:51:33.980,193,126297
3430,7.0000,1.0000,2017-02-16 10:59:37.670,590,2019-07-16 02:19:58.960,227,64563
3431,7.0000,1.0000,2018-06-30 13:35:01.920,234,2018-03-26 05:40:24.020,90,13598
3432,7.0000,1.0000,2019-05-03 17:37:50.150,563,2018-09-22 17:10:39.760,217,10145
3433,7.0000,1.0000,2017-10-03 22:06:24.610,602,2018-11-10 04:37:40.970,232,10873
3434,7.0000,1.0000,2019-07-29 02:33:11.280,486,2017-04-16 15:38:10.830,187,10230
3435,7.0000,1.0000,2017-12-29 14:24:30.680,546,2017-01-19 19:04:50.440,210,43237
3436,7.0000,1.0000,2018-03-21 00:34:48.000,575,2017-09-11 01:42:06.800,221,77472
3437,7.0000,1.0000,2018-11-14 03:00:07.520,189,2019-06-19 19:54:45.620,73,63968
3438,7.0000,1.0000,2018-09-11 04:36:44.140,461,2019-08-15 04:52:54.700,177,106184
3439,7.0000,1.0000,2017-03-14 22:09:38.220,369,2018-12-03 22:37:34.530,141,23358
3440,7.0000,1.0000,2018-01-15 12:40:13.020,557,2018-07-13 12:51:55.660,214,128946
3441,7.0000,1.0000,2018-04-17 08:47:46.260,605,2017-03-27 09:37:30.350,233,18352
3442,7.0000,1.0000,2018-06-15 22:36:20.340,382,2017-03-01 10:59:24.680,146,34885
3443,7.0000,1.0000,2018-05-04 15:42:50.110,565,2017-08-06 16:43:09.930,217,101264
3444,7.0000,1.0000,2018-08-21 07:17:19.470,398,2019-03-13 23:30:47.300,152,105603
3445,7.0000,1.0000,2019-09-04 06:44:08.630,445,2018-10-10 12:10:20.030,171,27715
3446,7.0000,1.0000,2018-08-23 07:36:56.900,593,2018-04-11 08:17:28.200,228,64794
3447,7.0000,1.0000,2019-03-01 07:21:56.470,557,2018-10-25 17:31:40.130,215,798
3448,7.0000,1.0000,2017-02-02 21:19:53.030,577,2019-07-02 21:39:24.660,222,105050
3449,7.0000,1.0000,2018-07-25 19:05:07.940,568,2018-07-13 05:36:07.850,219,4283
3450,7.0000,1.0000,2018-04-25 00:48:54.270,500,2018-08-03 19:23:35.420,192,64954
3451,7.0000,1.0000,2018-10-20 17:27:23.230,384,2018-05-20 00:39:40.420,147,6868
3452,7.0000,1.0000,2018-05-07 05:31:48.910,287,2018-05-01 17:10:55.700,110,36203
3453,7.0000,1.0000,2017-05-14 00:56:15.530,537,2017-11-23 22:05:19.840,206,126300
3454,7.0000,1.0000,2019-02-08 14:40:21.960,391,2017-02-24 10:50:52.550,149,104712
3455,7.0000,1.0000,2017-02-04 08:22:46.610,411,2018-02-07 00:16:48.960,158,247
3456,7.0000,1.0000,2017-03-03 05:09:00.560,467,2019-02-26 21:57:14.860,180,7016
3457,7.0000,1.0000,2019-06-28 05:28:47.690,470,2017-02-04 08:01:01.990,180,125888
3458,7.0000,1.0000,2017-03-25 05:27:16.070,607,2018-10-17 05:19:24.510,234,14865
3459,7.0000,1.0000,2017-03-01 06:53:07.520,541,2017-09-18 13:44:54.590,208,27456
3460,7.0000,1.0000,2019-04-28 15:14:11.930,566,2017-06-20 21:09:06.610,218,11096
3461,7.0000,1.0000,2018-01-21 19:29:59.980,436,2019-06-03 01:02:48.690,167,84507
3462,7.0000,1.0000,2018-07-21 04:28:34.790,538,2017-05-08 21:58:25.860,207,14881
3463,7.0000,1.0000,2019-04-29 07:05:52.510,394,2018-04-28 17:18:11.380,151,178
3464,7.0000,1.0000,2018-06-11 12:16:28.540,318,2019-06-12 08:11:32.090,121,63317
3465,7.0000,1.0000,2018-12-20 02:38:22.430,286,2018-03-03 02:28:48.260,109,127527
3466,7.0000,1.0000,2017-12-05 13:45:32.700,509,2017-08-15 19:50:38.150,195,102158
3467,7.0000,1.0000,2017-04-15 09:25:06.500,439,2017-07-16 05:58:47.780,168,77132
3468,7.0000,1.0000,2018-07-23 08:34:11.300,590,2018-06-16 05:49:24.440,227,34765
3469,7.0000,1.0000,2019-05-15 02:55:35.320,480,2017-12-11 10:11:57.480,185,150
3470,7.0000,1.0000,2017-08-01 22:40:44.470,597,2019-03-03 14:04:30.360,230,27971
3471,7.0000,1.0000,2017-07-31 08:30:42.500,582,2019-07-23 16:21:40.230,224,62833
3472,7.0000,1.0000,2019-10-29 04:15:10.880,452,2019-07-10 05:04:42.670,174,12541
3473,7.0000,1.0000,2018-12-04 14:57:46.940,453,2018-06-14 07:41:03.810,174,42761
3474,7.0000,1.0000,2017-11-29 18:02:14.220,571,2018-07-15 18:24:37.240,220,21070
3475,7.0000,1.0000,2017-02-27 20:30:16.990,412,2019-01-17 01:33:55.160,158,42247
3476,7.0000,1.0000,2019-10-21 07:25:20.270,544,2018-06-20 20:01:55.590,209,101339
3477,7.0000,1.0000,2017-03-21 15:16:00.570,539,2018-06-19 10:02:46.480,207,102870
3478,7.0000,1.0000,2017-10-03 22:54:33.620,100,2019-08-03 01:15:55.610,39,2946
3479,7.0000,1.0000,2018-01-14 01:36:58.470,511,2018-06-18 17:37:29.550,196,52757
3480,7.0000,1.0000,2019-11-20 14:07:23.380,466,2018-02-15 10:42:38.360,179,63204
3481,7.0000,1.0000,2019-06-30 00:02:31.830,298,2019-03-19 10:07:02.760,114,21959
3482,7.0000,1.0000,2019-04-11 05:42:37.810,534,2018-08-09 04:36:27.860,205,101884
3483,7.0000,1.0000,2018-05-15 02:04:10.690,509,2018-06-23 04:56:26.470,195,105055
3484,7.0000,1.0000,2018-11-09 20:22:16.520,531,2018-12-24 21:02:14.190,204,64449
3485,7.0000,1.0000,2018-04-20 17:32:14.440,335,2017-05-30 10:54:47.600,127,76993
3486,7.0000,1.0000,2017-03-05 08:03:13.010,496,2019-03-31 14:19:10.270,191,14195
3487,7.0000,1.0000,2018-12-30 16:41:34.620,473,2019-02-06 20:58:43.800,182,15765
3488,7.0000,1.0000,2018-08-17 07:26:02.660,524,2017-09-12 15:45:41.190,201,64529
3489,7.0000,1.0000,2019-07-03 18:10:24.670,578,2018-12-23 12:51:35.690,223,4463
3490,7.0000,1.0000,2017-11-07 09:15:30.120,561,2019-05-04 17:42:00.590,216,52068
3491,7.0000,1.0000,2018-09-14 19:06:00.320,593,2019-04-21 10:40:39.130,228,103512
3492,7.0000,1.0000,2018-08-31 21:32:51.450,387,2018-06-24 01:07:50.180,148,22992
3493,7.0000,1.0000,2018-07-22 21:43:36.620,604,2017-01-28 00:09:33.300,232,101365
3494,7.0000,1.0000,2017-11-08 06:55:26.290,425,2019-05-12 14:43:55.170,163,63288
3495,7.0000,1.0000,2019-12-16 17:10:13.040,423,2018-11-08 22:18:59.200,162,101500
3496,7.0000,1.0000,2019-09-19 04:19:11.470,519,2017-07-11 17:31:36.220,199,52692
3497,7.0000,1.0000,2019-02-08 15:30:27.840,427,2017-04-06 05:12:25.370,164,6393
3498,7.0000,1.0000,2019-11-15 03:26:21.570,568,2019-07-12 02:46:11.890,219,13734
3499,7.0000,1.0000,2019-08-24 04:38:57.050,589,2017-01-10 07:40:04.880,226,128119
3500,7.0000,1.0000,2018-10-09 16:58:35.920,482,2019-07-25 23:17:37.840,185,125949
3501,7.0000,1.0000,2018-05-19 22:11:50.400,583,2018-02-06 22:52:19.990,224,84792
3502,7.0000,1.0000,2017-08-18 22:47:45.160,346,2019-01-01 09:43:18.140,132,22286
3503,7.0000,1.0000,2017-09-12 18:24:17.710,474,2018-04-12 02:19:55.480,182,78765
3504,7.0000,1.0000,2018-01-02 20:24:23.470,568,2017-01-15 09:18:59.890,218,102483
3505,7.0000,1.0000,2017-10-04 16:18:11.770,595,2017-05-28 05:46:30.480,229,55405
3506,7.0000,1.0000,2018-12-14 13:12:12.350,498,2019-04-21 03:53:22.410,191,127250
3507,7.0000,1.0000,2019-05-25 14:34:01.970,329,2017-12-13 13:30:37.670,125,84716
3508,7.0000,1.0000,2019-06-06 06:54:01.310,435,2019-07-14 06:35:47.710,167,30350
3509,7.0000,1.0000,2018-12-21 18:10:04.970,484,2019-06-11 19:34:40.370,186,43645
3510,7.0000,1.0000,2017-04-08 00:57:26.340,522,2017-06-06 14:32:07.600,200,105840
3511,7.0000,1.0000,2019-12-04 13:52:59.990,309,2018-01-13 12:17:53.070,118,6430
3512,7.0000,1.0000,2018-10-04 06:34:14.060,615,2017-08-03 20:39:25.820,237,20517
3513,7.0000,1.0000,2019-03-03 03:50:17.600,405,2019-01-09 07:05:55.790,155,76782
3514,7.0000,1.0000,2017-04-02 16:45:44.140,542,2018-11-18 19:03:32.340,208,129819
3515,7.0000,1.0000,2019-10-21 15:11:40.110,58,2019-08-02 17:16:02.870,22,76582
3516,7.0000,1.0000,2018-10-04 13:47:22.180,535,2017-02-21 02:39:26.690,206,300
3517,7.0000,1.0000,2017-03-18 02:24:24.100,414,2017-11-21 07:57:21.360,159,7600
3518,7.0000,1.0000,2017-06-29 10:43:35.980,544,2018-10-07 05:42:16.630,209,129509
3519,7.0000,1.0000,2017-03-02 18:44:14.100,496,2018-08-23 03:42:07.050,191,10058
3520,7.0000,1.0000,2018-10-26 18:35:09.410,413,2017-06-14 00:06:17.170,158,77222
3521,7.0000,1.0000,2018-11-27 21:03:58.090,423,2017-02-11 12:01:53.310,162,63578
3522,7.0000,1.0000,2018-08-21 01:59:03.850,442,2018-11-16 09:01:41.010,170,12371
3523,7.0000,1.0000,2019-01-11 14:23:46.640,208,2019-08-22 10:56:33.210,80,24566
3524,7.0000,1.0000,2018-07-17 17:40:05.190,393,2017-05-27 03:25:31.840,150,76671
3525,7.0000,1.0000,2018-11-09 03:34:44.150,543,2017-12-30 22:51:51.740,209,17339
3526,7.0000,1.0000,2018-11-21 10:57:51.050,470,2018-04-07 02:05:48.060,180,128401
3527,7.0000,1.0000,2018-04-18 06:31:34.250,610,2019-04-28 23:50:39.850,235,34916
3528,7.0000,1.0000,2018-02-05 08:02:20.640,315,2017-08-10 22:49:47.590,120,14091
3529,7.0000,1.0000,2017-12-06 00:52:01.180,567,2018-02-14 09:43:14.490,218,77457
3530,7.0000,1.0000,2017-06-02 16:11:05.520,519,2017-10-17 00:05:02.620,199,64147
3531,7.0000,1.0000,2017-09-21 15:54:52.430,366,2018-10-31 07:51:27.630,140,18427
3532,7.0000,1.0000,2017-04-28 11:49:39.000,421,2018-04-03 23:16:35.840,161,127444
3533,7.0000,1.0000,2018-02-01 18:15:36.580,482,2017-01-17 08:22:52.550,185,54760
3534,7.0000,1.0000,2019-03-29 08:38:22.550,305,2018-01-27 13:09:50.010,116,52557
3535,7.0000,1.0000,2018-07-13 15:55:32.980,267,2017-12-02 19:31:34.450,102,126254
3536,7.0000,1.0000,2018-11-21 01:14:46.660,392,2018-05-29 06:45:16.030,150,21111
3537,7.0000,1.0000,2018-08-08 11:18:20.090,582,2017-03-18 20:57:35.820,224,21792
3538,7.0000,1.0000,2017-05-22 05:39:47.210,578,2017-09-10 16:32:25.060,222,128050
3539,7.0000,1.0000,2018-02-15 04:04:04.750,510,2019-08-23 15:58:21.300,196,21235
3540,7.0000,1.0000,2019-04-29 04:20:02.090,530,2019-03-29 14:24:05.920,204,10349
3541,7.0000,1.0000,2017-10-02 17:29:11.040,528,2019-02-23 09:28:25.280,203,35127
3542,7.0000,1.0000,2019-07-18 09:47:33.320,597,2019-08-04 09:06:08.870,230,34824
3543,7.0000,1.0000,2019-08-18 13:15:57.690,572,2017-09-07 04:36:46.390,220,63070
3544,7.0000,1.0000,2019-04-06 17:12:58.320,564,2019-03-09 13:32:51.910,217,63175
3545,7.0000,1.0000,2017-11-25 19:22:30.130,496,2018-09-15 18:57:32.220,191,11767
3546,7.0000,1.0000,2019-12-03 12:31:46.260,530,2017-12-28 16:09:39.770,204,1449
3547,7.0000,1.0000,2019-06-22 17:42:33.860,493,2017-11-20 01:05:22.650,189,127359
3548,7.0000,1.0000,2018-05-01 04:57:52.480,594,2019-05-10 01:40:00.330,229,21405
3549,7.0000,1.0000,2018-01-09 15:43:46.190,529,2017-12-28 10:24:56.070,203,84184
3550,7.0000,1.0000,2018-03-24 03:22:50.860,323,2019-08-31 20:30:25.820,123,63316
3551,7.0000,1.0000,2019-07-14 01:54:47.360,605,2017-10-27 04:16:15.670,233,29700
3552,7.0000,1.0000,2018-08-22 04:46:51.850,618,2019-05-09 08:35:58.890,238,101373
3553,7.0000,1.0000,2019-09-24 08:42:07.470,495,2018-02-10 02:04:27.100,190,84081
3554,7.0000,1.0000,2017-11-07 10:03:47.630,577,2017-09-29 07:54:22.230,222,54777
3555,7.0000,1.0000,2019-11-03 19:54:37.840,561,2017-03-03 22:45:30.480,216,14377
3556,7.0000,1.0000,2019-09-20 20:12:46.550,329,2019-05-06 00:43:47.360,125,127716
3557,7.0000,1.0000,2018-07-30 08:23:58.530,616,2017-07-18 02:29:26.250,237,104517
3558,7.0000,1.0000,2019-02-18 00:44:12.520,553,2018-01-16 09:21:27.570,213,27517
3559,7.0000,1.0000,2019-02-15 16:49:39.320,472,2019-05-13 22:31:54.300,182,741
3560,7.0000,1.0000,2018-11-05 05:20:20.720,580,2017-12-26 11:00:49.800,223,76882
3561,7.0000,1.0000,2017-09-07 06:40:38.090,571,2019-04-11 16:09:19.310,220,35240
3562,7.0000,1.0000,2018-04-29 06:31:41.320,619,2018-08-31 10:24:10.430,239,13791
3563,7.0000,1.0000,2018-07-11 06:02:00.120,490,2017-01-11 17:59:18.290,188,84031
3564,7.0000,1.0000,2018-07-31 01:58:59.440,580,2018-05-15 20:04:51.340,223,126098
3565,7.0000,1.0000,2019-07-09 09:02:33.910,588,2019-07-12 04:18:25.760,226,127119
3566,7.0000,1.0000,2019-08-18 02:03:20.980,11,2018-06-05 20:19:13.680,5,10956
3567,7.0000,1.0000,2017-09-11 12:18:37.470,325,2018-05-22 02:23:45.800,124,17551
3568,7.0000,1.0000,2019-11-26 19:11:55.050,616,2017-10-07 03:16:22.920,237,105485
3569,7.0000,1.0000,2018-09-12 00:50:11.160,394,2019-03-13 22:25:01.710,151,9992
3570,7.0000,1.0000,2017-12-10 13:56:53.450,486,2017-08-24 05:52:23.660,187,21099
3571,7.0000,1.0000,2017-03-08 02:29:02.090,428,2018-10-31 21:31:12.680,164,63755
3572,7.0000,1.0000,2019-10-18 20:44:36.890,510,2018-04-11 10:29:35.260,196,235
3573,7.0000,1.0000,2019-05-06 06:39:31.240,594,2017-04-11 04:50:14.690,229,405
3574,7.0000,1.0000,2017-10-26 14:24:12.010,115,2017-04-28 18:04:21.820,45,4271
3575,7.0000,1.0000,2018-02-03 01:05:58.370,577,2018-08-11 23:43:13.570,222,76631
3576,7.0000,1.0000,2019-05-04 11:16:24.770,304,2018-10-27 05:13:30.570,116,8176
3577,7.0000,1.0000,2018-12-25 12:43:06.160,474,2017-04-10 21:24:08.740,182,42741
3578,7.0000,1.0000,2019-09-28 21:10:48.320,586,2019-08-08 12:47:29.780,226,7592
3579,7.0000,1.0000,2017-08-31 22:17:35.050,551,2018-11-30 22:19:26.000,212,43813
3580,7.0000,1.0000,2018-11-28 15:02:57.890,245,2017-09-17 18:24:50.470,94,17670
3581,7.0000,1.0000,2019-05-23 17:15:17.200,599,2019-02-04 19:05:15.120,231,8201
3582,7.0000,1.0000,2019-12-10 01:33:41.780,355,2017-01-07 20:53:43.390,135,36634
3583,7.0000,1.0000,2017-02-05 16:18:34.450,506,2018-02-23 10:51:35.600,194,106249
3584,7.0000,1.0000,2019-09-05 21:29:10.330,606,2017-11-15 18:42:43.110,233,102352
3585,7.0000,1.0000,2017-11-11 14:16:18.160,448,2017-10-06 19:25:36.000,172,19058
3586,7.0000,1.0000,2019-01-22 11:08:00.590,119,2017-01-16 19:55:31.730,46,63502
3587,7.0000,1.0000,2017-07-27 03:07:31.540,394,2018-10-25 10:16:47.910,151,3694
3588,7.0000,1.0000,2017-04-06 08:11:48.950,494,2019-08-27 10:42:16.730,190,52551
3589,7.0000,1.0000,2019-05-17 12:43:44.720,555,2019-03-03 15:53:19.850,214,21946
3590,7.0000,1.0000,2018-10-14 19:42:46.430,514,2019-08-12 12:05:08.670,197,126763
3591,7.0000,1.0000,2017-05-03 16:50:48.130,536,2018-03-17 02:12:16.990,206,52955
3592,7.0000,1.0000,2019-06-12 10:34:07.570,340,2019-04-13 13:28:02.370,130,12337
3593,7.0000,1.0000,2018-03-28 12:50:07.900,420,2019-06-08 23:29:27.850,161,84444
3594,7.0000,1.0000,2019-04-03 22:43:44.030,512,2018-02-19 15:11:30.500,196,128235
3595,7.0000,1.0000,2018-08-31 21:39:23.990,493,2019-07-22 03:00:17.570,190,6606
3596,7.0000,1.0000,2019-05-28 10:57:29.720,479,2017-02-26 23:55:53.950,184,34989
3597,7.0000,1.0000,2018-01-17 03:45:33.200,624,2019-03-06 23:35:38.080,241,398
3598,7.0000,1.0000,2018-01-28 11:16:58.250,564,2018-04-06 08:36:47.670,217,42175
3599,7.0000,1.0000,2019-09-20 08:10:24.420,516,2019-04-28 03:37:58.510,198,53933
3600,7.0000,1.0000,2018-04-01 17:19:09.160,447,2019-01-20 09:57:36.270,172,2775
3601,7.0000,1.0000,2019-04-03 00:13:08.790,291,2018-11-18 07:13:54.150,111,105252
3602,7.0000,1.0000,2019-07-18 22:30:38.810,538,2017-12-17 19:18:25.990,207,21005
3603,7.0000,1.0000,2019-08-11 04:07:41.330,557,2018-02-05 00:55:46.050,214,105946
3604,7.0000,1.0000,2017-02-09 01:46:52.740,614,2019-02-06 15:54:28.860,237,12699
3605,7.0000,1.0000,2018-01-26 00:53:48.770,609,2018-11-26 04:54:52.000,235,10037
3606,7.0000,1.0000,2019-09-17 05:10:10.480,586,2017-10-20 19:37:06.450,225,126392
3607,7.0000,1.0000,2019-04-09 22:07:20.610,491,2018-03-12 10:54:01.640,189,21359
3608,7.0000,1.0000,2018-12-08 18:17:55.450,287,2017-07-12 16:45:23.590,110,18713
3609,7.0000,1.0000,2019-09-26 08:57:49.270,602,2018-05-21 20:13:53.610,232,7151
3610,7.0000,1.0000,2017-07-12 08:38:13.060,448,2017-10-17 15:53:51.390,172,22309
3611,7.0000,1.0000,2017-10-06 07:29:40.390,416,2019-08-27 06:06:44.910,160,6500
3612,7.0000,1.0000,2018-10-23 11:13:10.210,525,2017-07-28 01:15:24.730,202,8226
3613,7.0000,1.0000,2018-06-29 02:26:37.460,531,2017-08-08 09:42:01.550,204,22449
3614,7.0000,1.0000,2017-03-30 01:46:41.420,389,2017-02-05 11:00:50.800,149,116
3615,7.0000,1.0000,2019-06-06 12:05:03.530,610,2019-08-16 23:40:16.440,235,63438
3616,7.0000,1.0000,2017-09-20 05:06:56.320,373,2017-07-23 08:15:42.210,143,744
3617,7.0000,1.0000,2018-04-02 14:13:06.870,408,2019-05-02 01:05:10.870,157,3076
3618,7.0000,1.0000,2018-10-27 08:32:49.790,616,2017-01-23 03:52:16.020,237,63485
3619,7.0000,1.0000,2017-09-28 11:42:41.270,290,2019-03-29 22:39:18.850,111,52493
3620,7.0000,1.0000,2017-06-26 21:54:33.320,520,2018-09-22 09:09:30.250,200,15628
3621,7.0000,1.0000,2019-01-31 22:55:49.440,320,2017-07-11 15:59:18.580,122,3214
3622,7.0000,1.0000,2017-06-17 04:06:48.520,418,2019-03-11 11:42:34.410,160,105381
3623,7.0000,1.0000,2017-07-22 06:28:10.330,528,2019-08-14 21:30:31.110,203,63184
3624,7.0000,1.0000,2019-11-20 05:07:24.730,204,2018-11-26 12:18:54.860,78,125769
3625,7.0000,1.0000,2017-08-18 21:06:05.320,581,2017-06-10 05:29:18.970,224,792
3626,7.0000,1.0000,2017-09-17 15:54:54.520,411,2019-07-07 17:27:21.120,158,19458
3627,7.0000,1.0000,2018-08-02 07:54:28.990,574,2019-05-16 04:23:56.510,221,44321
3628,7.0000,1.0000,2017-02-11 07:55:47.210,614,2018-09-15 18:46:54.450,237,4106
3629,7.0000,1.0000,2019-02-16 16:44:48.030,489,2018-01-12 17:38:33.380,188,27493
3630,7.0000,1.0000,2018-08-30 14:08:28.650,217,2019-06-01 01:24:57.660,83,86989
3631,7.0000,1.0000,2018-04-27 07:30:51.570,479,2019-05-05 14:07:58.280,184,64663
3632,7.0000,1.0000,2017-12-07 01:26:07.910,547,2018-12-09 14:15:31.980,211,6842
3633,7.0000,1.0000,2017-01-18 13:00:23.900,585,2017-03-05 12:02:44.630,225,21392
3634,7.0000,1.0000,2019-05-24 04:58:25.900,570,2019-08-05 13:43:34.350,220,70
3635,7.0000,1.0000,2019-08-19 14:49:49.110,478,2018-11-12 22:46:40.390,184,13989
3636,7.0000,1.0000,2019-10-27 18:44:38.400,469,2018-01-16 17:43:01.520,180,77045
3637,7.0000,1.0000,2017-05-10 21:26:00.440,631,2017-06-10 11:19:22.490,243,28270
3638,7.0000,1.0000,2019-12-19 14:31:41.720,550,2018-11-03 15:02:16.000,212,20952
3639,7.0000,1.0000,2018-08-20 20:35:21.560,310,2019-09-01 09:51:56.030,118,84538
3640,7.0000,1.0000,2018-02-16 09:06:07.690,436,2019-06-29 01:18:10.700,167,101311
3641,7.0000,1.0000,2019-10-06 13:00:39.980,552,2017-08-16 02:34:39.420,212,85813
3642,7.0000,1.0000,2018-08-10 08:49:36.090,431,2019-06-04 18:15:59.160,165,101628
3643,7.0000,1.0000,2017-07-02 23:13:59.690,511,2018-10-22 07:29:27.300,196,63235
3644,7.0000,1.0000,2018-11-15 04:05:31.650,590,2017-04-29 05:41:49.920,227,22563
3645,7.0000,1.0000,2018-01-18 12:13:06.040,506,2019-08-25 05:45:57.210,195,3734
3646,7.0000,1.0000,2018-07-03 05:37:37.920,567,2017-10-04 04:31:37.810,218,66827
3647,7.0000,1.0000,2017-12-24 08:07:30.110,574,2018-07-17 09:26:19.260,221,14472
3648,7.0000,1.0000,2018-01-08 11:03:26.470,588,2017-11-05 03:56:14.810,226,84119
3649,7.0000,1.0000,2019-10-20 10:38:40.510,558,2019-07-22 20:53:26.280,215,36710
3650,7.0000,1.0000,2017-12-21 16:32:27.660,584,2017-11-08 23:46:18.050,225,392
3651,7.0000,1.0000,2018-03-06 20:44:22.850,430,2018-05-28 11:44:39.120,165,17628
3652,7.0000,1.0000,2019-03-14 19:12:43.410,576,2019-01-01 20:30:21.110,222,34631
3653,7.0000,1.0000,2017-05-11 23:34:16.980,378,2017-04-28 09:33:48.020,144,126576
3654,7.0000,1.0000,2019-04-05 10:15:51.090,492,2017-08-17 06:15:59.080,189,52311
3655,7.0000,1.0000,2019-02-20 18:23:19.720,604,2018-06-13 10:50:38.990,233,3414
3656,7.0000,1.0000,2018-10-26 20:06:20.270,635,2018-12-21 19:45:39.590,244,53458
3657,7.0000,1.0000,2019-01-06 16:02:28.470,366,2019-08-28 11:08:38.760,140,29549
3658,7.0000,1.0000,2019-09-12 23:00:16.600,633,2017-12-26 22:13:39.700,243,126219
3659,7.0000,1.0000,2019-06-15 04:40:47.420,504,2019-04-07 07:17:53.340,194,14523
3660,7.0000,1.0000,2017-05-20 08:58:54.250,551,2018-12-02 06:09:02.730,212,53952
3661,7.0000,1.0000,2018-02-24 21:15:41.480,610,2019-07-07 06:31:57.640,235,52037
3662,7.0000,1.0000,2019-03-08 14:11:33.400,393,2019-07-21 15:48:34.600,150,127111
3663,7.0000,1.0000,2019-10-14 01:33:07.430,565,2019-06-30 00:18:10.110,218,6297
3664,7.0000,1.0000,2018-02-05 18:49:20.620,178,2017-09-24 09:43:40.910,69,53311
3665,7.0000,1.0000,2019-03-09 01:07:21.490,438,2018-06-15 13:31:53.640,168,22757
